ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails
6170,6168,"Agreement - £12,469.00",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Steff Aquarone,5164,Yearly,,,Yearly,,Monetary,,12469,0,No specific contracted hours,FALSE,,FALSE,,,FALSE,,,
8908,6852,"Agreement - £97,928.40",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Nigel Farage,5091,Monthly,,,Monthly,,Monetary,,97928.4,32,,FALSE,,FALSE,,,FALSE,,,
8912,8909,"Agreement - £4,000.00",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Nigel Farage,5091,Monthly,,,Monthly,,Monetary,,4000,16,,FALSE,,FALSE,,,FALSE,,,
7077,7074,Agreement - £841.13,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Joe Robertson,5255,Monthly,,,Monthly,,Monetary,,841.13,0,,FALSE,,FALSE,,,FALSE,,,
10201,8155,"Agreement starting 04 May 2012 - £2,449.13",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Lillian Jones,5043,Monthly,04/05/2012,31/07/2024,Weekly,,Monetary,Approximate,2449.13,30,Approximately,FALSE,,FALSE,,,FALSE,,,
8281,8277,"Agreement - £1,826.94",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Lloyd Hatton,5217,Monthly,,26/07/2024,Weekly,,Monetary,,1826.94,38,,FALSE,,FALSE,,,FALSE,,,
8288,8284,"Agreement - £2,271.84",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Lloyd Hatton,5217,Monthly,,10/07/2024,Weekly,,Monetary,,2271.84,10,Estimated hours.,FALSE,,FALSE,,,FALSE,,,
7983,7978,"Agreement - £1,083.69",03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Callum Anderson,5193,Monthly,,,Weekly,,Monetary,,1083.69,10,Approximate,FALSE,,FALSE,,,FALSE,,,
8570,8539,"Agreement - £1,976.39",31/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Dr Lauren Sullivan,5269,Monthly,,01/08/2024,Weekly,,Monetary,,1976.39,16,,FALSE,,FALSE,,,FALSE,,,
7154,7153,Agreement - £393.50,25/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Peter Prinsley,5163,Monthly,,,Monthly,,Monetary,,393.5,10,estimated hours,FALSE,,FALSE,,,FALSE,,,
7290,7268,"Agreement - £2,405.54",24/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Connor Naismith,5273,Monthly,,25/07/2024,Weekly,,Monetary,Regular salary payment,2405.54,37.5,,FALSE,,FALSE,,,FALSE,,,
8637,8634,"Agreement - £18,537.00",02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Satvir Kaur,5271,Monthly,,30/08/2024,Weekly,,Monetary,,18537,7,,FALSE,,FALSE,,,FALSE,,,
8441,8440,"Agreement starting 22 July 2024 - £5,000.00",31/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,George Freeman,4020,Monthly,22/07/2024,,Monthly,,Monetary,,5000,8,,FALSE,,FALSE,,,FALSE,,,
8906,8904,"Agreement - £1,263.00",01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Rebecca Smith,5301,Monthly,,08/08/2024,Weekly,,Monetary,,1263,15,,FALSE,,FALSE,,,FALSE,,,
8630,8627,"Agreement starting 02 May 2011 - £13,900.00",02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Satvir Kaur,5271,Monthly,02/05/2011,30/07/2024,Weekly,,Monetary,,13900,35,estimated,FALSE,,FALSE,,,FALSE,,,
9059,9057,Agreement - £965.66,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Mr Lee Dillon,5310,Monthly,,,Weekly,,Monetary,,965.66,15,,FALSE,,FALSE,,,FALSE,,,
9076,9069,"Agreement - £1,600.00",01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,James Naish,5047,Monthly,,05/07/2024,Weekly,,Monetary,This is an estimate,1600,20,,FALSE,,FALSE,,,FALSE,,,
7641,7640,"Agreement - £3,037.37",29/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Darren Paffey,5270,Monthly,,04/07/2024,Weekly,,Monetary,,3037.37,37.5,Final payment of salary,FALSE,,FALSE,,,FALSE,,,
10100,10097,Agreement - £416.00,04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Jess Brown-Fuller,5335,Monthly,,,Monthly,,Monetary,Standard Councillor allowance,416,20,Estimated,FALSE,,FALSE,,,FALSE,,,
9831,9829,Agreement starting 04 July 2024 - £710.00,03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Shaun Davies,5041,Monthly,04/07/2024,,Monthly,,Monetary,,710,15,approximately,FALSE,,FALSE,,,FALSE,,,
9836,9835,Agreement - £250.00,04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Mr Adnan Hussain,5231,Monthly,,,Weekly,,Monetary,,250,1,approximate,FALSE,,FALSE,,,FALSE,,,
9851,9849,"Agreement - £5,771.99",03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Callum Anderson,5193,Monthly,,05/07/2024,Weekly,,Monetary,,5771.99,40,Final payment of salary up to and including the date of the 2024 general election.,FALSE,,FALSE,,,FALSE,,,
5422,5421,"Agreement starting 02 September 2024 - £2,000.00",31/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,George Freeman,4020,Monthly,02/09/2024,,Monthly,,Monetary,,2000,8,,FALSE,,FALSE,,,FALSE,,,
10212,8158,"Agreement starting 04 July 2007 - £3,280.00",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Lillian Jones,5043,Monthly,04/07/2007,04/07/2024,Weekly,,Monetary,Approximate,3280,37,Maximum,FALSE,,FALSE,,,FALSE,,,
6885,6078,"Agreement starting 01 February 2016 - £5,953.34",22/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Luke Taylor,5103,Monthly,01/02/2016,,Weekly,,Monetary,,5953.34,32,Minimum contracted hours,FALSE,,FALSE,,,FALSE,,,
7061,7043,"Agreement - £1,180.00",25/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Rebecca Paul,5297,Monthly,,,Monthly,,Monetary,,1180,32,,FALSE,,FALSE,,,FALSE,,,
7701,6354,Agreement - £756.25,29/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Mr Joshua Reynolds,5343,Monthly,,,Weekly,,Monetary,,756.25,10,,FALSE,,FALSE,,,FALSE,,,
8313,4017,Agreement - £300.00,30/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Paulette Hamilton,4938,Monthly,,,Monthly,,Monetary,,300,10,,FALSE,,FALSE,,,FALSE,,,
7328,7327,Agreement starting 03 May 2023 - £436.54,25/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Rachel Taylor,5065,Monthly,03/05/2023,05/07/2024,Monthly,,Monetary,,436.54,25,,FALSE,,FALSE,,,FALSE,,,
7339,7336,Agreement - £852.90,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Deirdre Costigan,5075,Monthly,,15/07/2024,Weekly,,Monetary,,852.9,35,,FALSE,,FALSE,,,FALSE,,,
7676,7521,"Agreement - £1,000.00",01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,David Williams,5151,Monthly,,,Monthly,,Monetary,The payment will be ceased from August onwards; I am also going to repay the allowance received in July.,1000,60,This is estimated and varies,FALSE,,FALSE,,,FALSE,,,
8220,7361,Agreement - £694.17,30/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Mr Jonathan Brash,5045,Monthly,,08/08/2024,Monthly,,Monetary,,694.17,20,approx.,FALSE,,FALSE,,,FALSE,,,
8311,8273,Agreement starting 04 July 2024 - £994.62,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Charlotte Cane,5182,Monthly,04/07/2024,,Monthly,,Monetary,,994.62,40,approx.,FALSE,,FALSE,,,FALSE,,,
9958,9956,"Agreement - £11,451.00",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Victoria Collins,5201,Monthly,,11/09/2024,Monthly,,Monetary,Approx.,11451,40,,FALSE,,FALSE,,,FALSE,,,
