ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice
6168,,County Councillor - Norfolk County Councillor,04/08/2024,04/08/2024,,Employment and earnings,Steff Aquarone,5164,County Councillor,,,FALSE,Norfolk County Councillor,FALSE,FALSE,Elected member,"Martinuea Lane, Norwich NR1 2DH",
9240,,Cameo video recordings - Baron App Inc (Cameo),04/08/2024,04/08/2024,,Employment and earnings,Nigel Farage,5091,Cameo video recordings,,,FALSE,Baron App Inc (Cameo),FALSE,FALSE,,2045 W Grand Ave Suite B Chicago IL 60612,
8909,,Writing articles - Telegraph media group,04/08/2024,04/08/2024,,Employment and earnings,Nigel Farage,5091,Writing articles,,,FALSE,Telegraph media group,FALSE,FALSE,,"111 Buckingham Palace Road, London, SW1W 0DT",
8916,,Social media work - Meta Platforms,04/08/2024,04/08/2024,,Employment and earnings,Nigel Farage,5091,Social media work,,,FALSE,Meta Platforms,FALSE,FALSE,,"1 Meta Way Menlo Park, CA",
9226,,Social media - X Corp,04/08/2024,04/08/2024,,Employment and earnings,Nigel Farage,5091,Social media,,,FALSE,X Corp,FALSE,FALSE,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",
9233,,Speaking engagement - AZ Liberty Network,04/08/2024,04/08/2024,,Employment and earnings,Nigel Farage,5091,Speaking engagement,,,FALSE,AZ Liberty Network,FALSE,FALSE,,1835 E Elliot Road Suite 102 Tempe 85284,
10178,,Employment Solicitor - Intel Corporation (UK) Ltd,04/08/2024,04/08/2024,,Employment and earnings,Ben Maguire,5350,Employment Solicitor,,09/08/2024,TRUE,Intel Corporation (UK) Ltd,FALSE,FALSE,Microchip design and manufacturing,"Pipers Way, Swindon SN3 1RJ",
6186,,Chief Executive - Cornwall Community Land Trust,04/08/2024,04/08/2024,,Employment and earnings,Andrew George,227,Chief Executive,,,FALSE,Cornwall Community Land Trust,FALSE,FALSE,Charity housing,"The Penwith Centre, Parade St, Penzance TR18 2ES",FALSE
7336,,National Officer for Disability Equality - UNISON,01/08/2024,04/08/2024,,Employment and earnings,Deirdre Costigan,5075,National Officer for Disability Equality,,05/07/2024,TRUE,UNISON,FALSE,FALSE,,"Unison Centre, 130 Euston Road NW1 2AY",
7013,,Councillor - Wiltshire Council,25/07/2024,04/08/2024,,Employment and earnings,Sarah Gibson,5239,Councillor,,,FALSE,Wiltshire Council,FALSE,FALSE,,"Council House Bourne Hill, Salisbury SP1 3UZ",
7074,,Councillor - Isle of Wight Council,01/08/2024,04/08/2024,,Employment and earnings,Joe Robertson,5255,Councillor,,,FALSE,Isle of Wight Council,FALSE,FALSE,Local Authority,"County Hall, Newport, Isle of Wight",
7122,,London Councils Executive Member - London Councils,04/08/2024,04/08/2024,,Employment and earnings,Jas Athwal,5227,London Councils Executive Member,,19/07/2024,TRUE,London Councils,FALSE,FALSE,Local Government,City of London Corporation,
7361,,Councillor - Hartlepool Borough Council,30/07/2024,04/08/2024,,Employment and earnings,Mr Jonathan Brash,5045,Councillor,,08/08/2024,TRUE,Hartlepool Borough Council,FALSE,FALSE,Local Council,"Civic Centre, Victoria Road, Hartlepool TS24 8AY",
7346,,Councillor - London Borough of Ealing,01/08/2024,04/08/2024,,Employment and earnings,Deirdre Costigan,5075,Councillor,,,FALSE,London Borough of Ealing,FALSE,FALSE,,Ealing Town Hall W5 2BY,
7380,,County Councillor - Nottinghamshire County Council,03/08/2024,04/08/2024,,Employment and earnings,Michelle Welsh,5226,County Councillor,,,FALSE,Nottinghamshire County Council,FALSE,FALSE,Local Government,"Nottinghamshire County Hall, West Bridgford, Nottinghamshire NG2 7QP",
7447,,Chief Executive Officer - Medical Aid for Palestinians,31/07/2024,04/08/2024,,Employment and earnings,Melanie Ward,5240,Chief Executive Officer,,05/07/2024,TRUE,Medical Aid for Palestinians,FALSE,FALSE,A charity which works for the health and dignity of Palestinians living under occupation and as refugees.,"33A Islington Street, London N1 1QB",
7457,,Superintendent Pharmacist - PillTime Ltd,25/07/2024,04/08/2024,,Employment and earnings,Sadik Al-Hassan,5312,Superintendent Pharmacist,,08/07/2024,TRUE,PillTime Ltd,FALSE,FALSE,Online Pharmacy,"Unit 7 and 8, The Laurels, Cribbs Causeway, Bristol BS10 7TT",
7429,,Office of Conor McGinn MP - IPSA,02/08/2024,04/08/2024,,Employment and earnings,Anna Turley,4449,Office of Conor McGinn MP,,04/07/2024,TRUE,IPSA,FALSE,FALSE,,"85 Strand, Marylebone WC2R 0DW",
7517,,"Executive Director of Policy, Advocacy and Campaigns - Save the Children UK",25/07/2024,04/08/2024,,Employment and earnings,Kirsty McNeill,5114,"Executive Director of Policy, Advocacy and Campaigns",,07/07/2024,TRUE,Save the Children UK,FALSE,FALSE,,"1 St John's Lane, London EC1M 4AR",
7755,,Office Manager Jon Cruddas MP - IPSA,29/07/2024,04/08/2024,,Employment and earnings,Margaret Mullane,5272,Office Manager Jon Cruddas MP,,04/07/2024,TRUE,IPSA,FALSE,FALSE,,"85 the Strand, London WC2R ODW",
7539,,Voluntary Services Manager - NHS Lanarkshire,03/08/2024,04/08/2024,,Employment and earnings,Katrina Murray,5309,Voluntary Services Manager,,04/08/2024,TRUE,NHS Lanarkshire,FALSE,FALSE,NHS Board,"Kirklands Hospital, Fallside Road, Bothwell G71 8BB",
8011,,Connecting communities staff - Coalfield regeneration trust,03/08/2024,04/08/2024,,Employment and earnings,Elaine Stewart,5206,Connecting communities staff,,,FALSE,Coalfield regeneration trust,FALSE,FALSE,Coalfield regeneration trust,"2 Kirk Street, Kincardine, Alloa FK10 4PT",
7643,,Local government councillor - London Borough of Hammersmith & Fulham,31/07/2024,04/08/2024,,Employment and earnings,Ben Coleman,5344,Local government councillor,,,FALSE,London Borough of Hammersmith & Fulham,FALSE,FALSE,London Borough Council,"Town Hall, King Street, Hammersmith, London W6 9JU",
8065,,Councillor & Chair of Local Committee - Sutton Council,02/08/2024,04/08/2024,,Employment and earnings,Bobby Dean,5083,Councillor & Chair of Local Committee,,,FALSE,Sutton Council,FALSE,FALSE,Local authority,"Sutton Council, Civic Offices, St Nicholas Way, Sutton SM1 1EA",
8070,,Local councillor - East Ayrshire council,02/08/2024,04/08/2024,,Employment and earnings,Elaine Stewart,5206,Local councillor,,,FALSE,East Ayrshire council,FALSE,FALSE,Local authority,"London Road, Kilmarnock, East Ayrshire KA37BU",
8079,,Consultancy work - 2S Ltd,29/08/2024,04/08/2024,,Employment and earnings,Ian Sollom,5096,Consultancy work,,31/07/2024,TRUE,2S Ltd,FALSE,FALSE,Strategy consultancy for business,"Tintagel House, 92 Embankment, London SE1 7TY",
8155,,"Councillor, East Ayrshire Council - East Ayrshire Council",30/07/2024,04/08/2024,,Employment and earnings,Lillian Jones,5043,"Councillor, East Ayrshire Council",,,FALSE,East Ayrshire Council,FALSE,FALSE,,"96 London Road, Kilmarnock KA3 7DD",
8158,,Clinical Support - NHS Greater Glasgow and Clyde,04/08/2024,04/08/2024,,Employment and earnings,Lillian Jones,5043,Clinical Support,,07/07/2024,TRUE,NHS Greater Glasgow and Clyde,FALSE,FALSE,,"1345 Govan Road, Glasgow G51 4TF",
8216,,Councillor and Cabinet Member - Medway Council,30/07/2024,04/08/2024,,Employment and earnings,Tristan Osborne,5220,Councillor and Cabinet Member,,25/07/2024,TRUE,Medway Council,FALSE,FALSE,Local Authority Council,"Gun Wharf, Dock Road, Chatham, Kent ME4 4TR",
8242,,Assistant professor - University of Nottingham,30/07/2024,04/08/2024,,Employment and earnings,Adam Thompson,5044,Assistant professor,,08/07/2024,TRUE,University of Nottingham,FALSE,FALSE,,"Faculty of Engineering, University of Nottingham, Nottingham NG8 1BB",
8018,,Unitary  Councillor - Milton Keynes City Council,02/08/2024,04/08/2024,,Employment and earnings,Emily Darlington,5139,Unitary  Councillor,,,FALSE,Milton Keynes City Council,FALSE,FALSE,,1 Saxon Gate MK9 3EJ,
8277,,Policy and Campaigns Manager (Head of) - Athena Foundation,04/08/2024,04/08/2024,,Employment and earnings,Lloyd Hatton,5217,Policy and Campaigns Manager (Head of),,05/07/2024,TRUE,Athena Foundation,FALSE,FALSE,Not-for-profit,"Acre House, 11/15 William Road, London NW1 3ER",
8284,,Councillor and Chief Whip - Camden Council,04/08/2024,04/08/2024,,Employment and earnings,Lloyd Hatton,5217,Councillor and Chief Whip,,12/07/2024,TRUE,Camden Council,FALSE,FALSE,,"London Borough of Camden, 5 Pancras Square, Kings Cross London, N1C 4AG",
8327,,Local Councillor - North Lanarkshire Council,04/08/2024,04/08/2024,,Employment and earnings,Kenneth Stevenson,5200,Local Councillor,,,FALSE,North Lanarkshire Council,FALSE,FALSE,,"Civic Centre, Windmillhill Street, Motherwell ML1 1AB",
7978,,Councillor - Ealing Council,03/08/2024,04/08/2024,,Employment and earnings,Callum Anderson,5193,Councillor,,,FALSE,Ealing Council,FALSE,FALSE,,"Perceval House, 14-16 Uxbridge Road, London, W5 2HL",
8344,,Programme Manager - Durham University,01/08/2024,04/08/2024,,Employment and earnings,Sam Rushworth,5108,Programme Manager,,26/07/2024,TRUE,Durham University,FALSE,FALSE,,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE",
8348,,Director of Diplomatic and International Relations - C40 Cities,02/08/2024,04/08/2024,,Employment and earnings,Uma Kumaran,5278,Director of Diplomatic and International Relations,,06/07/2024,TRUE,C40 Cities,FALSE,FALSE,C40 cities climate leadership group,"C40 Cities, 3 Queen Victoria Street London EC4N 4TQ",
8448,,Director and major shareholder - Lowe Holdings Ltd,31/07/2024,04/08/2024,,Employment and earnings,Rupert Lowe,5158,Director and major shareholder,,,FALSE,Lowe Holdings Ltd,FALSE,TRUE,Holding company for Lowe and Oliver Ltd electrical contactors,"Cumnor Road, Wootton, Oxford",
