ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,VisitLocations,VisitLocations_1_Country,VisitLocations_1_Destination,Purpose,StartDate,EndDate,Appg,Donors,Donors_1_Name,Donors_1_IsPrivateIndividual,Donors_1_PublicAddress,Donors_1_PaymentType,Donors_1_PaymentDescription,Donors_1_Value,Donors_1_IsSoleBeneficiary,Donors_2_Name,Donors_2_IsPrivateIndividual,Donors_2_PublicAddress,Donors_2_PaymentType,Donors_2_PaymentDescription,Donors_2_Value,Donors_2_IsSoleBeneficiary,Donors_3_Name,Donors_3_IsPrivateIndividual,Donors_3_PublicAddress,Donors_3_PaymentType,Donors_3_PaymentDescription,Donors_3_Value,Donors_3_IsSoleBeneficiary,Donors_4_Name,Donors_4_IsPrivateIndividual,Donors_4_PublicAddress,Donors_4_PaymentType,Donors_4_PaymentDescription,Donors_4_Value,Donors_4_IsSoleBeneficiary,Donors_5_Name,Donors_5_IsPrivateIndividual,Donors_5_PublicAddress,Donors_5_PaymentType,Donors_5_PaymentDescription,Donors_5_Value,Donors_5_IsSoleBeneficiary,VisitLocations_2_Country,VisitLocations_2_Destination
8931,,International visit to Belgium between 16 April 2024 and 17 April 2024,04/08/2024,04/08/2024,,Visits outside the UK,Nigel Farage,5091,,Belgium,,To speak at a conference,16/04/2024,17/04/2024,,,George Cottrell,TRUE,,In kind,Return travel and accommodation for Mr Farage and one staffer and security provision,9253.6,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9159,,International visit to United States between 14 January 2024 and 19 January 2024,01/08/2024,04/08/2024,,Visits outside the UK,Kirsty McNeill,5114,,United States,,"Comparative policy analysis between the UK and US, co-organised by Progressive Britain",14/01/2024,19/01/2024,,,Progressive Policy Institute,FALSE,"1919 M Street Northwest, Suite 300 Washington DC, 20036 USA",In kind,"Flights, accommodation and meals",7856,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,,International visit to Iraq between 16 April 2024 and 21 April 2024,03/08/2024,04/08/2024,,Visits outside the UK,Mr Hamish Falconer,5148,,Iraq,,To deepen my understanding of the circumstances in Iraqi Kurdistan and the role of Iraqi Kurds in trans-national challenges facing the UK,16/04/2024,21/04/2024,,,Labour Middle East Council,FALSE,"62 Seymour Grove Old Traffford, Manchester, United Kingdom, M16 0LN",In kind,"Flights, accommodation and meals",1200,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9886,,International visit to United States between 14 January 2024 and 19 January 2024,03/08/2024,04/08/2024,,Visits outside the UK,Mr Hamish Falconer,5148,,United States,,Comparative policy analysis between the UK and US,14/01/2024,19/01/2024,,,Progressive Policy Institute,FALSE,"1919 M St NW, Washington, DC 20036, United States",In kind,"Flight, accommodation, meals",7856,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9438,,International visit to France between 11 March 2024 and 14 March 2024,02/08/2024,04/08/2024,,Visits outside the UK,Satvir Kaur,5271,,France,,Attended in my role as Chair of LGA City Regions Board.,11/03/2024,14/03/2024,,,MIPIM (RX Global),FALSE,"125 London Wall, Barbican, London EC2Y 5AJ",In kind,conference pass and accommodation,2050,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9331,,International visit to Germany between 23 July 2024 and 25 July 2024,02/08/2024,04/08/2024,,Visits outside the UK,David Mundell,1512,,Germany,,Attending AIDS 2024 Conference,23/07/2024,25/07/2024,,,StopAids,FALSE,"167-169 Great Portland Street, 5th Floor, London W1W 5PF",In kind,Day Pass to AIDS 2024 Conference (USD 595),467.11,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9496,,International visit to Cyprus between 08 February 2024 and 11 February 2024,02/08/2024,04/08/2024,,Visits outside the UK,David Reed,5347,,Cyprus,Northern Cyprus,"Parliamentary fact-finding delegation to learn about the political system, history, culture, and economy in Northern Cyprus.",08/02/2024,11/02/2024,,,The Turkish Cypriot Chamber of Commerce,FALSE,"90 Bedrettin Demirel Caddesi Yenişehir, Lefkoşa",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150,TRUE,Cyprus Premier,FALSE,"239-241 Kennington Ln, London SE11 5QU",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150,TRUE,The Arkin Group,FALSE,"P.O. Box : 309 Girne- Kıbrıs, 99300",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150,TRUE,The British Residents Society,FALSE,"Mustafa Cagatay Avenue, Girne",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150,TRUE,Turkish Airlines,FALSE,"Istanbul Atatürk Airport, Yeşilköy, Bakırköy, Istanbul, Türkiye",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150,TRUE,,
9473,,International visit to Israel between 12 February 2024 and 15 February 2024,02/08/2024,04/08/2024,,Visits outside the UK,Katie Lam,5285,,Israel,,Fact finding political delegation,12/02/2024,15/02/2024,,,Conservative Friends of Israel Ltd (CFI Ltd),FALSE,"CFI Ltd, PO Box 72288, London SW1P 9LB",In kind,"flights, accommodation and hospitality",2650,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8516,,International visit to China between 19 March 2024 and 23 March 2024,31/07/2024,04/08/2024,,Visits outside the UK,Sir Geoffrey Clifton-Brown,249,,China,Beijing,Engagements with British business and other connected meetings,19/03/2024,23/03/2024,As part of a cross party delegation of MPs attending 12th Senior Leader's Forum,,All Party Parliamentary China Group,TRUE,,In kind,"flights (£3,064), hotel (£423) and meals (£63)",3855,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10176,,International visit to United States between 14 January 2024 and 19 January 2024,04/08/2024,04/08/2024,,Visits outside the UK,Dr Zubir Ahmed,5213,,United States,,Comparative policy analysis between the UK and USA.,14/01/2024,19/01/2024,,,Progressive Policy Institute,FALSE,"1919 M Street Northwest, Suite 300, Washington DC 20036 United States",In kind,"Flights, accommodation and meals",7856,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
