ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,StartDate,EndDate,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType
9867,,Property in London,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Mr Hamish Falconer,5148,,,TRUE,London,,,,,,1,FALSE,FALSE,United Kingdom,,Residential
6373,,Property in Cheltenham,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Sarah Smith,5117,,,TRUE,Cheltenham,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
9222,,Property in Folkestone and Hythe,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Nigel Farage,5091,,,TRUE,Folkestone and Hythe,House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
9224,,Property in Tandridge,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Nigel Farage,5091,,,TRUE,Tandridge,,,,,,1,FALSE,FALSE,United Kingdom,,Residential
10229,,Property in Plymouth,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Ben Maguire,5350,,,FALSE,Plymouth,Terraced House,co-owned with family member through limited company Maguire Cervantes Property Limited. This is the only property I own and the only property Maguire Cervantes Property Limited owns.,,,,1,FALSE,FALSE,United Kingdom,,Residential
9890,,Property in London,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Alice Macdonald,5133,04/07/2024,21/07/2024,TRUE,London,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
7472,,Property in London,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Mr Bayo Alaba,5097,,,FALSE,London,Flat,Co-owned with a family member,,,,7,FALSE,FALSE,United Kingdom,,Residential
9024,,Property in London,01/08/2024,04/08/2024,,Land and property (within or outside the UK),Sarah Sackman,5204,,,FALSE,London,Flat,co-owned with family members,I receive a third of the total. The remainder is divided between two other members of my family.,,,1,FALSE,TRUE,United Kingdom,,Residential
9030,,Property in Leicestershire,01/08/2024,04/08/2024,,Land and property (within or outside the UK),Louise Jones,5258,,,TRUE,Leicestershire,,,,,,1,FALSE,FALSE,United Kingdom,,Residential
9048,,Property in Nottinghamshire,01/08/2024,04/08/2024,,Land and property (within or outside the UK),James Naish,5047,,,FALSE,Nottinghamshire,,The land is part of The William Arthur Robinson Will Trust. I am one of two trustees,,,,,TRUE,FALSE,United Kingdom,Agricultural,
9049,,Property in Nottinghamshire,01/08/2024,04/08/2024,,Land and property (within or outside the UK),James Naish,5047,,,FALSE,Nottinghamshire,Farm buildings,The property is part of The William Arthur Robinson Will Trust. I am one of two trustees,,,,1,FALSE,FALSE,United Kingdom,,Agricultural
9195,,Property in Warrington,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Sarah Hall,5154,,,FALSE,Warrington,House,Co-owned with a family member.,,,,1,FALSE,FALSE,United Kingdom,,Residential
9251,,Property in London,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Joani Reid,5079,,,TRUE,London,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
9336,,Property in Guildford,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Katie Lam,5285,,,TRUE,Guildford,House,,,,31/07/2024,1,FALSE,FALSE,United Kingdom,,Residential
9341,,Property in Guildford,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Katie Lam,5285,,18/07/2024,FALSE,Guildford,Flat,Co-owned with a family member,Half the rental income went to my family member (the co-owner),,17/07/2024,1,FALSE,TRUE,United Kingdom,,Residential
9393,,Property in Tyrone,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Mr Cathal Mallaghan,5153,,,FALSE,Tyrone,,Co-owned with family member,,,,,TRUE,FALSE,United Kingdom,Agricultural,
9395,,Property in Tyrone,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Mr Cathal Mallaghan,5153,,,FALSE,Tyrone,House,Co-owned with family member,,,,1,FALSE,FALSE,United Kingdom,,Residential
9547,,Property in Somerset,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Tessa Munt,4089,,,TRUE,Somerset,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
9692,,Property in London,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Alison Griffiths,5203,,,FALSE,London,Flat,Co-owned with family member.,,,,1,FALSE,FALSE,United Kingdom,,Residential
9769,,"Property in Newcastle, Leicester, Gainford",03/08/2024,04/08/2024,,Land and property (within or outside the UK),Shivani Raja,5068,,,TRUE,"Newcastle, Leicester, Gainford",House,,,,,3,FALSE,FALSE,United Kingdom,,Commercial
9929,,Property in Penmaenmawr,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Claire Hughes,5113,,,FALSE,Penmaenmawr,Bungalow,Co-owned with a family member.,,,,1,FALSE,FALSE,United Kingdom,,Residential
9948,,Property in Sandwell and Birmingham,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Gurinder Josan,5059,,,FALSE,Sandwell and Birmingham,,All properties are co-owned with family members,Rental income is paid to all co-owners of the respective property,,,5,FALSE,TRUE,United Kingdom,,Residential
9953,,Property in Sandwell,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Gurinder Josan,5059,,,FALSE,Sandwell,,All properties are co-owned with family members,Rental income is paid to all co-owners of the respective property,,,3,FALSE,TRUE,United Kingdom,,Commercial
10004,,Property in Ile-de-France,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Victoria Collins,5201,,,TRUE,Ile-de-France,Studio Flat,,,,,1,FALSE,FALSE,France,,Residential
10034,,Property in Shotts,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Kenneth Stevenson,5200,,,FALSE,Shotts,End terraced house,Co-owned with my wife.,,,,1,FALSE,FALSE,United Kingdom,,Residential
10143,,Property in London,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Sarah Smith,5117,,,TRUE,London,house,,,,,1,FALSE,FALSE,United Kingdom,,Residential
10170,,Property in Burnley,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Mr Adnan Hussain,5231,,,TRUE,Burnley,House,,,,,2,FALSE,FALSE,United Kingdom,,Residential
10198,,Property in London,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Mr Bayo Alaba,5097,,,FALSE,London,flat,Co-owned with family member,,,,7,FALSE,FALSE,United Kingdom,,Residential
10237,,Property in London,04/08/2024,04/08/2024,,Land and property (within or outside the UK),Dr Zubir Ahmed,5213,,31/08/2024,TRUE,London,,,,,,1,FALSE,FALSE,United Kingdom,,Residential
9677,,Property in Norwich,02/08/2024,04/08/2024,,Land and property (within or outside the UK),Jack Abbott,5131,,,FALSE,Norwich,House,Co-owned,,,,1,FALSE,FALSE,United Kingdom,,Residential
9935,,Property in Hamburg,03/08/2024,04/08/2024,,Land and property (within or outside the UK),Julia Buckley,5171,,,FALSE,Hamburg,1 bed Flat,Co-owned with 2 step-family members,,,,1,FALSE,FALSE,Germany,,Residential
10483,,Property in Scotland,31/08/2024,04/08/2024,,Land and property (within or outside the UK),Rupert Lowe,5158,,,FALSE,Scotland,Tilmouth fishing on the River Tweed,Joint ownership,,,,,TRUE,FALSE,United Kingdom,Agricultural,
7416,,Property in York,03/08/2024,03/08/2024,,Land and property (within or outside the UK),Alison Hume,5254,,,TRUE,York,House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
7747,,Property in Isle of Arran,03/08/2024,03/08/2024,,Land and property (within or outside the UK),Alison Taylor,5093,,,FALSE,Isle of Arran,Semi- detached cottage,Co-owned with two family members,,,,1,FALSE,FALSE,United Kingdom,,Residential
7749,,Property in Andulucia,03/08/2024,03/08/2024,,Land and property (within or outside the UK),Alison Taylor,5093,,,FALSE,Andulucia,Apartment,Co-owned with two other family members.,,,,1,FALSE,FALSE,Spain,,Residential
6519,,Property in London,02/08/2024,02/08/2024,,Land and property (within or outside the UK),Mr Alex Barros-Curtis,5175,,,FALSE,London,,The property is co-owned with my spouse.,,,,1,FALSE,FALSE,United Kingdom,,Residential
8619,,Property in Southampton,02/08/2024,02/08/2024,,Land and property (within or outside the UK),Satvir Kaur,5271,,,TRUE,Southampton,house,,,,,1,FALSE,FALSE,United Kingdom,,Residential
6013,,Property in London,02/08/2024,02/08/2024,,Land and property (within or outside the UK),James Naish,5047,,,FALSE,London,Flat,Co-owned with a family member,"The rental income is shared with a family member (71.5% to me, 28.5% to the family member in line with our property shares)",,,1,FALSE,TRUE,United Kingdom,,Residential
7658,,Property in Derby,02/08/2024,02/08/2024,,Land and property (within or outside the UK),Baggy Shanker,5176,,,FALSE,Derby,House,50% share with a family member,,,,2,FALSE,FALSE,United Kingdom,,Residential
9410,,Property in London,02/08/2024,02/08/2024,,Land and property (within or outside the UK),Catherine Atkinson,5143,,,FALSE,London,Flat,Co-owned with a family member,Rental income is paid to my partner and myself,,,2,FALSE,TRUE,United Kingdom,,Residential
8020,,Property in London,02/08/2024,02/08/2024,,Land and property (within or outside the UK),Emily Darlington,5139,,,FALSE,London,Flat,Co-owned with spouse,,,,1,FALSE,FALSE,United Kingdom,,Residential
7155,,Property in Luton,31/07/2024,01/08/2024,,Land and property (within or outside the UK),Dr Jeevun Sandher,5259,,,TRUE,Luton,House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
7329,,Property in Atherstone,26/07/2024,01/08/2024,,Land and property (within or outside the UK),Rachel Taylor,5065,,,TRUE,Atherstone,flat,,,,,2,FALSE,FALSE,United Kingdom,,Residential
8865,,Property in London,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Charlie Dewhirst,5169,01/08/2004,,TRUE,London,Flat,,,01/10/2023,,1,FALSE,FALSE,United Kingdom,,Residential
6696,,Property in Norfolk,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Adrian Ramsay,5320,,,FALSE,Norfolk,House,Co-owned with a family member,Half the rental income is paid to the co-owner,,,1,FALSE,TRUE,United Kingdom,,Residential
6276,,Property in Aberdeen,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Al Carns,5235,,,FALSE,Aberdeen,Flat,co-owned with my spouse,,,,1,FALSE,FALSE,United Kingdom,,Residential
6439,,Property in London,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Sarah Coombes,5088,,,TRUE,London,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
8137,,Property in Hampshire,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Charlie Maynard,5325,,,FALSE,Hampshire,House,Co-owned with three family members,rental income is paid by one family member to three family members,,,1,FALSE,TRUE,United Kingdom,,Residential
8140,,Property in London,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Charlie Maynard,5325,,,FALSE,London,Flat,co-owned with wife,rental income is paid to me and my wife,,,1,FALSE,TRUE,United Kingdom,,Residential
8142,,Property in Upstate New York,01/08/2024,01/08/2024,,Land and property (within or outside the UK),Charlie Maynard,5325,,,FALSE,Upstate New York,House,co-owned with my wife,the rental income is paid to me and my wife,,,1,FALSE,TRUE,United States,,Residential
7956,,Property in London,29/07/2024,31/07/2024,,Land and property (within or outside the UK),Nesil Caliskan,5180,,,FALSE,London,,Co-owned with my partner,Half the rental income is paid to both me and my partner.,01/06/2021,,1,FALSE,TRUE,United Kingdom,,Residential
8497,,Property in Cartegena,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Dr Jeevun Sandher,5259,,,FALSE,Cartegena,,Co-owned with family member,,,,1,FALSE,FALSE,Spain,,Residential
8586,,Property in London,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Aphra Brandreth,5241,,,FALSE,London,Ground floor Commercial property,Property is owned by the company of which both my husband and I are the joint company owners and directors.,The rental income is paid to the company of which both my husband and I are the joint owners and directors.,,,1,FALSE,TRUE,United Kingdom,,Commercial
8198,,Property in London,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Blake Stephenson,5100,,,FALSE,London,,Co-owned with partner,,,,1,FALSE,FALSE,United Kingdom,,Residential
8567,,Property in London,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Liam Conlon,5132,,,TRUE,London,,,,,,1,FALSE,FALSE,United Kingdom,,Residential
8458,,Property in London,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Rupert Lowe,5158,,,TRUE,London,Offices of J Brand,,,,,1,FALSE,FALSE,United Kingdom,,Commercial
8462,,Property in Oxford,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Rupert Lowe,5158,,,TRUE,Oxford,Offices,,,,,1,FALSE,FALSE,United Kingdom,,Commercial
8463,,Property in London,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Rupert Lowe,5158,,,TRUE,London,House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
8554,,Property in London,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Shockat Adam,5120,,,TRUE,London,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
8468,,Property in Gloucestershire,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Rupert Lowe,5158,,,TRUE,Gloucestershire,,,,,,,TRUE,FALSE,United Kingdom,Agricultural,
7006,,Property in Glasgow,31/07/2024,31/07/2024,,Land and property (within or outside the UK),Torcuil Crichton,5246,,,TRUE,Glasgow,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
8582,,"Property in Ferring, West Sussex",31/07/2024,31/07/2024,,Land and property (within or outside the UK),Aphra Brandreth,5241,,,FALSE,"Ferring, West Sussex",House,Co-owned with my husband,The rental income is paid to both myself and my husband,,,1,FALSE,TRUE,United Kingdom,,Residential
7414,,Property in Colchester,30/07/2024,30/07/2024,,Land and property (within or outside the UK),Pam Cox,5042,,,FALSE,Colchester,House,co-owned with a family member,,,,1,FALSE,FALSE,United Kingdom,,Residential
6694,,Property in Hertfordshire,30/07/2024,30/07/2024,,Land and property (within or outside the UK),Jon Pearce,5115,,,FALSE,Hertfordshire,,Joint owner,,,,1,FALSE,FALSE,United Kingdom,,Residential
6695,,Property in Derbyshire,30/07/2024,30/07/2024,,Land and property (within or outside the UK),Jon Pearce,5115,,,FALSE,Derbyshire,,Joint owned,,,,1,FALSE,FALSE,United Kingdom,,Residential
7702,,Property in Mojacar,30/07/2024,30/07/2024,,Land and property (within or outside the UK),David Williams,5151,,,FALSE,Mojacar,Flat,Co-owned with friend.,,,,1,FALSE,FALSE,Spain,,Residential
8151,,Property in London,30/07/2024,30/07/2024,,Land and property (within or outside the UK),Joe Powell,5229,,,TRUE,London,Flat,,,,,1,FALSE,FALSE,United Kingdom,,Residential
8221,,"Property in Rochester, Kent",30/07/2024,30/07/2024,,Land and property (within or outside the UK),Tristan Osborne,5220,,,TRUE,"Rochester, Kent",House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
7480,,Property in Swindon,26/07/2024,30/07/2024,,Land and property (within or outside the UK),Heidi Alexander,4038,,,FALSE,Swindon,House,Co-owned with a family member,,,,1,FALSE,FALSE,United Kingdom,,Residential
7851,,Property in Merthyr Tydfil,29/07/2024,29/07/2024,,Land and property (within or outside the UK),Helen Maguire,5336,,,TRUE,Merthyr Tydfil,House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
7759,,Property in London,29/07/2024,29/07/2024,,Land and property (within or outside the UK),Andrew Pakes,5243,,,FALSE,London,Home in London,Co-owned with partner,,,,1,FALSE,FALSE,United Kingdom,,Residential
7798,,Property in London,29/07/2024,29/07/2024,,Land and property (within or outside the UK),Ms Julie Minns,5094,,,TRUE,London,House,,,,,1,FALSE,FALSE,United Kingdom,,Residential
7222,,Property in East Lothian,29/07/2024,29/07/2024,,Land and property (within or outside the UK),Mr Douglas Alexander,632,,,FALSE,East Lothian,,Co-owned with my wife,,,,1,FALSE,FALSE,United Kingdom,,Residential
7908,,Property in Alicante province,29/07/2024,29/07/2024,,Land and property (within or outside the UK),Kirsteen Sullivan,5179,,,FALSE,Alicante province,House,co-owned with family member,,,,1,FALSE,FALSE,Spain,,Residential
2609,,"Property in Islay, Argyll",16/11/2021,29/07/2024,29/07/2024,Land and property (within or outside the UK),Mr Alistair Carmichael,1442,10/11/2021,,TRUE,"Islay, Argyll","Farmland including farm buildings and one house let as holiday accommodation, managed through Coillabus Farms",,income paid to my father,10/11/2021,,,TRUE,TRUE,United Kingdom,Agricultural,
