ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType
10181,,"Unpaid trustee Lifelines Arley Whitacre, a small charity.",04/08/2024,04/08/2024,,Miscellaneous,Jodie Gosling,5036,,,,"Unpaid trustee Lifelines Arley Whitacre, a small charity.",Unpaid role
10211,,Member of Euston Business Improvement District Board,04/08/2024,04/08/2024,,Miscellaneous,Georgia Gould,5305,,30/07/2024,,Member of Euston Business Improvement District Board,Unpaid role
10266,,Unpaid Director of Hope Not Hate Ltd.,04/08/2024,04/08/2024,,Miscellaneous,Anna Turley,4449,,11/07/2024,,Unpaid Director of Hope Not Hate Ltd.,Unpaid role
10233,,"Honorary surgeon, NHS Greater Glasgow and Clyde",04/08/2024,04/08/2024,,Miscellaneous,Dr Zubir Ahmed,5213,,,,"Honorary surgeon, NHS Greater Glasgow and Clyde",Formal role with a party organisation
10209,,Member of Euston Partnership Board - this was in my capacity as leader of Camden Council so ceased when I stood down from this role.,04/08/2024,04/08/2024,,Miscellaneous,Georgia Gould,5305,10/07/2024,11/07/2024,,Member of Euston Partnership Board - this was in my capacity as leader of Camden Council so ceased when I stood down from this role.,Unpaid role
10197,,Army Reservist. I have not received any earnings since being elected.,04/08/2024,04/08/2024,,Miscellaneous,Helena Dollimore,5192,,,,Army Reservist. I have not received any earnings since being elected.,Other
10166,,Associate member of Deka Chambers.,04/08/2024,04/08/2024,,Miscellaneous,Jake Richards,5082,,,,Associate member of Deka Chambers.,Other
10070,,Membership Secretary of Arnold Branch Labour Party.,04/08/2024,04/08/2024,,Miscellaneous,Michael Payne,5146,,,,Membership Secretary of Arnold Branch Labour Party.,Formal role with a party organisation
10057,,I have an unpaid role as a Councillor on Rochdale Borough Council (RBC).,04/08/2024,04/08/2024,,Miscellaneous,Mrs Elsie Blundell,5084,,,,I have an unpaid role as a Councillor on Rochdale Borough Council (RBC).,Formal role with a party organisation
10052,,LGBT+ Officer of Gedling Constituency Labour Party.,04/08/2024,04/08/2024,,Miscellaneous,Michael Payne,5146,,,,LGBT+ Officer of Gedling Constituency Labour Party.,Formal role with a party organisation
10036,,Associate member of Young Camden Foundation Board - this was a role associated with my role as Leader of Camden Council. I stepped down when I stepped down as Leader of Camden Council.,04/08/2024,04/08/2024,,Miscellaneous,Georgia Gould,5305,,11/07/2024,,Associate member of Young Camden Foundation Board - this was a role associated with my role as Leader of Camden Council. I stepped down when I stepped down as Leader of Camden Council.,Unpaid role
10035,,Co-Chair of London's Partnership Board - This role came with my role as Chair of London Councils and ceased on my resignation as Chair of London Councils.,04/08/2024,04/08/2024,,Miscellaneous,Georgia Gould,5305,,10/07/2024,,Co-Chair of London's Partnership Board - This role came with my role as Chair of London Councils and ceased on my resignation as Chair of London Councils.,Unpaid role
10010,,Unpaid role as elected councillor on Bridgnorth Town council.,03/08/2024,04/08/2024,,Miscellaneous,Julia Buckley,5171,,,,Unpaid role as elected councillor on Bridgnorth Town council.,Unpaid role
10007,,Unpaid directorship of Home Grown Life Ltd.,03/08/2024,04/08/2024,,Miscellaneous,Victoria Collins,5201,,,,Unpaid directorship of Home Grown Life Ltd.,Unpaid role
9944,,Councillor in the London Borough of Tower Hamlets.,03/08/2024,04/08/2024,,Miscellaneous,Rachel Blake,5257,,26/07/2024,,Councillor in the London Borough of Tower Hamlets.,Other
9943,,Yorkshire & Humber Labour Party Regional Executive Committee North Yorkshire CLP representative.,03/08/2024,04/08/2024,,Miscellaneous,Alison Hume,5254,,,,Yorkshire & Humber Labour Party Regional Executive Committee North Yorkshire CLP representative.,Formal role with a party organisation
9937,,Unpaid directorship of a private company (Space Republic Limited),03/08/2024,04/08/2024,,Miscellaneous,Claire Hughes,5113,,,,Unpaid directorship of a private company (Space Republic Limited),Unpaid role
9864,,"Company Director, One Nine Seven Investments Ltd and A&H Bros (& others) Investments Ltd.",03/08/2024,04/08/2024,,Miscellaneous,Mr Adnan Hussain,5231,,,,"Company Director, One Nine Seven Investments Ltd and A&H Bros (& others) Investments Ltd.",Financial interest or material benefit
9862,,Shares in a dormant company no longer trading- Holland House Property Investments Ltd,03/08/2024,04/08/2024,,Miscellaneous,Alison Taylor,5093,,,,Shares in a dormant company no longer trading- Holland House Property Investments Ltd,Financial interest or material benefit
9758,,Unpaid role of District Councillor on Cannock Chase District Council.,03/08/2024,04/08/2024,,Miscellaneous,Josh Newbury,5034,,,Ongoing role of District Councillor on Cannock Chase District Council. Unpaid as of 05/07/2024 due to fully renouncing all members' allowances.,Unpaid role of District Councillor on Cannock Chase District Council.,Unpaid role
9741,,Non-practising solicitor (regulated by the Solicitor's Regulatory Authority).,03/08/2024,04/08/2024,,Miscellaneous,Alex McIntyre,5349,,,,Non-practising solicitor (regulated by the Solicitor's Regulatory Authority).,Other
9730,,"I am a solicitor, although I left my employment as a solicitor (Associate) with Thompsons Solicitors LLP on 5 July 2024.",03/08/2024,04/08/2024,,Miscellaneous,Warinder Juss,5230,,,,"I am a solicitor, although I left my employment as a solicitor (Associate) with Thompsons Solicitors LLP on 5 July 2024.",Other
9722,,Fellowship of the Royal Institution of Chartered Surveyors.,03/08/2024,04/08/2024,,Miscellaneous,Alison Taylor,5093,,,,Fellowship of the Royal Institution of Chartered Surveyors.,Other
9720,,Shares in a privately owned company - Avison Young Canada Inc.,03/08/2024,04/08/2024,,Miscellaneous,Alison Taylor,5093,,,,Shares in a privately owned company - Avison Young Canada Inc.,Financial interest or material benefit
9718,,Fellow of the Faculty of Public Health.,03/08/2024,04/08/2024,,Miscellaneous,Dr Beccy Cooper,5307,,,,Fellow of the Faculty of Public Health.,Other
9717,,Membership of the British Medical Association.,03/08/2024,04/08/2024,,Miscellaneous,Dr Beccy Cooper,5307,,,,Membership of the British Medical Association.,Other
9696,,"Unpaid directorship, Sterling Montague Ltd.",03/08/2024,04/08/2024,,Miscellaneous,Alison Griffiths,5203,,,,"Unpaid directorship, Sterling Montague Ltd.",Financial interest or material benefit
9694,,"Unpaid directorship
Strategic Risk Control Ltd.",03/08/2024,04/08/2024,,Miscellaneous,Alison Griffiths,5203,,,,"Unpaid directorship
Strategic Risk Control Ltd.",Financial interest or material benefit
9617,,Membership of the legal profession as a solicitor.,02/08/2024,04/08/2024,,Miscellaneous,Lucy Rigby,5333,,,,Membership of the legal profession as a solicitor.,Other
9530,,"Fellow at the Center for Advanced Security, Strategic and Integration Studies (CASSIS) at the University of Bonn. This is an unpaid role.",02/08/2024,04/08/2024,,Miscellaneous,Stephen Gethins,4434,,,,"Fellow at the Center for Advanced Security, Strategic and Integration Studies (CASSIS) at the University of Bonn. This is an unpaid role.",Unpaid role
9526,,Director of Blebo Global Ltd.,02/08/2024,04/08/2024,,Miscellaneous,Stephen Gethins,4434,,,None,Director of Blebo Global Ltd.,Financial interest or material benefit
9522,,Chair of the Labour Friends of Kosovo group,02/08/2024,04/08/2024,,Miscellaneous,Mrs Emma Lewell-Buck,4277,23/07/2024,,,Chair of the Labour Friends of Kosovo group,Unpaid role
9516,,"Unpaid Board Member, Sea Change Cafe, South Shields (Sea Change Cafe is a Community Interest Company)",02/08/2024,04/08/2024,,Miscellaneous,Mrs Emma Lewell-Buck,4277,23/03/2023,,,"Unpaid Board Member, Sea Change Cafe, South Shields (Sea Change Cafe is a Community Interest Company)",Unpaid role
9489,,Chair of Splash Group. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,Irene Campbell,5145,,,,Chair of Splash Group. This is an unpaid role.,Unpaid role
9464,,Registered with the Gambling Commission as one of the responsible persons on two society licenses issued to the Labour Party. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,Registered with the Gambling Commission as one of the responsible persons on two society licenses issued to the Labour Party. This is an unpaid role.,Unpaid role
9418,,"Chair of Governors, Grafton Primary School, London. This is an unpaid role.",02/08/2024,04/08/2024,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,"Chair of Governors, Grafton Primary School, London. This is an unpaid role.",Unpaid role
9154,,Co-Leader of the Green Party (England and Wales). This is a non-executive part-time role.,03/08/2024,04/08/2024,,Miscellaneous,Adrian Ramsay,5320,,,,Co-Leader of the Green Party (England and Wales). This is a non-executive part-time role.,Formal role with a party organisation
9217,,Unpaid director for the local community-run post office.,02/08/2024,04/08/2024,,Miscellaneous,Elaine Stewart,5206,,,,Unpaid director for the local community-run post office.,Unpaid role
9194,,"Trustee, Museum of Policing in Cheshire. This is an unpaid role.",02/08/2024,04/08/2024,,Miscellaneous,Sarah Hall,5154,,,,"Trustee, Museum of Policing in Cheshire. This is an unpaid role.",Unpaid role
9216,,Director of Dalmellington Parish Development trust. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,Elaine Stewart,5206,,,,Director of Dalmellington Parish Development trust. This is an unpaid role.,Unpaid role
9129,,Member of the Local Community Liaison Committee run by EDF Energy as a result of being the Councillor for Sturton Ward in Bassetlaw. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,,,Member of the Local Community Liaison Committee run by EDF Energy as a result of being the Councillor for Sturton Ward in Bassetlaw. This is an unpaid role.,Unpaid role
9128,,Non-continuous board member of the Trent Valley Internal Drainage Board as a result of being a Bassetlaw District Councillor. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,01/08/2024,,Non-continuous board member of the Trent Valley Internal Drainage Board as a result of being a Bassetlaw District Councillor. This is an unpaid role.,Unpaid role
9124,,Member of the Bassetlaw Shared Prosperity Partnership Group as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the Bassetlaw Shared Prosperity Partnership Group as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
9122,,Member of The City of Nottingham and Nottinghamshire Economic Prosperity Committee as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of The City of Nottingham and Nottinghamshire Economic Prosperity Committee as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
9119,,Non-voting member of the South Yorkshire Mayoral Combined Authority as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Non-voting member of the South Yorkshire Mayoral Combined Authority as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
9118,,Deputy / Shadow Cabinet Member of the East Midlands Combined County Authority as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Deputy / Shadow Cabinet Member of the East Midlands Combined County Authority as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
9110,,Member of the Midlands Nuclear Board as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the Midlands Nuclear Board as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
9105,,Member of the District Councils' Network as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,02/08/2024,04/08/2024,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the District Councils' Network as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role
8943,,"The Good Law Project is in receipt of donations (including crowdfunded donations) to support legal costs in one legal action in which I am named as a party. The legal proceedings do not concern my personal rights or liabilities, and I do not personally receive any donations.",03/08/2024,04/08/2024,,Miscellaneous,Siân Berry,5314,,,,"The Good Law Project is in receipt of donations (including crowdfunded donations) to support legal costs in one legal action in which I am named as a party. The legal proceedings do not concern my personal rights or liabilities, and I do not personally receive any donations.",Fund to defray legal costs
9065,,I am currently on an unpaid career break from my position as Chair of Urban Water Management at Heriot-Watt University.,02/08/2024,04/08/2024,,Miscellaneous,Dr Scott Arthur,5212,01/08/2024,05/07/2029,Heriot-Watt University,I am currently on an unpaid career break from my position as Chair of Urban Water Management at Heriot-Watt University.,Unpaid role
9023,,Unpaid role sitting on the board of Water and Sanitation for the Urban Poor (WSUP) which seeks to alleviate poverty and suffering in the world through the extension of water and sanitation services to low income communities.,01/08/2024,04/08/2024,,Miscellaneous,Helena Dollimore,5192,,05/07/2024,,Unpaid role sitting on the board of Water and Sanitation for the Urban Poor (WSUP) which seeks to alleviate poverty and suffering in the world through the extension of water and sanitation services to low income communities.,Unpaid role
8862,,Vice-chair of the Jewish Labour Movement. This is an unpaid role.,01/08/2024,04/08/2024,,Miscellaneous,Sarah Sackman,5204,,,,Vice-chair of the Jewish Labour Movement. This is an unpaid role.,Formal role with a party organisation
9075,,Thatcham Town Councillor. This is an unpaid role.,01/08/2024,04/08/2024,,Miscellaneous,Mr Lee Dillon,5310,,,,Thatcham Town Councillor. This is an unpaid role.,Unpaid role
8585,,Chartered Town Planner Member of the Royal Town Planning Institute. This is an unpaid role.,31/07/2024,04/08/2024,,Miscellaneous,Mr Gideon Amos,5250,,,,Chartered Town Planner Member of the Royal Town Planning Institute. This is an unpaid role.,Unpaid role
