ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,DonationSource,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link_1
7104,,"Labour Together - £5,000.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Natalie Fleet,5053,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,5000.00,,,,True,Labour Together,"21-24 Millbank, Millbank Tower, London SW1P 4QP",Company,Labour Together,,09630980,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/7104
8407,,"Stuart Bridge - £2,000.00",2024-08-12,2024-09-02,,Donations and other support (including loans) for activities as an MP,Anna Sabine,5286,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,Stuart Bridge,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8407
8548,,"Gary Lubner - £5,000.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Chris Murray,5245,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,5000.00,,,,True,Gary Lubner,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8548
8549,,"Labour Together - £10,000.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Chris Murray,5245,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,10000.00,,,,True,Labour Together,"Langley House, Park Road, East Finchley, London N2 8EY",Company,Labour Together,,09630980,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/8549
8551,,"Tracey Ullman - £6,500.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Chris Murray,5245,(b) Any other support not included in Category 2(a),Cash,,6500.00,26/01/2024,26/01/2024,31/05/2024,True,Tracey Ullman,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8551
8553,,"Gordon Dalyell - £3,500.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Chris Murray,5245,(b) Any other support not included in Category 2(a),Cash,,3500.00,01/02/2024,01/02/2024,30/05/2024,True,Gordon Dalyell,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8553
9234,,"EDF Energy Ltd - £2,000.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jack Abbott,5131,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,Event sponsorship,2000.00,,,,True,EDF Energy Ltd,"90 Whitfield Street, London W1T 4EZ",Company,EDF Energy Ltd,,02366852,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/9234
10498,,"Theatre Royal Plymouth - £1,584.00",2024-08-19,2024-09-02,,Donations and other support (including loans) for activities as an MP,Luke Pollard,4682,(b) Any other support not included in Category 2(a),InKind,24 pairs of tickets to Tom Fletcher’s ‘The Creakers’ (for each young person who attended my 2024 political summer school and their parent),1584.00,01/08/2024,01/08/2024,02/08/2024,True,Theatre Royal Plymouth,"Royal Parade, Plymouth PL1 2TR",Company,Theatre Royal Plymouth,,01560651,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10498
9328,,"Bridget Kendrick - £2,300.00",2024-08-02,2024-09-02,,Donations and other support (including loans) for activities as an MP,Helen Maguire,5336,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,for my campaign,2300.00,,,,True,Bridget Kendrick,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9328
9499,,"Communication Workers’ Union - £1,000.00",2024-08-13,2024-09-02,,Donations and other support (including loans) for activities as an MP,Darren Paffey,5270,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,1000.00,,,,True,Communication Workers’ Union,"South East Region, 1 Denville Close, Farlington, Portsmouth PO6 1AE",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9499
