ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,VisitLocations,VisitLocations_1_Country,VisitLocations_1_Destination,Purpose,StartDate,EndDate,Appg,Donors,Donors_1_Name,Donors_1_IsPrivateIndividual,Donors_1_PublicAddress,Donors_1_PaymentType,Donors_1_PaymentDescription,Donors_1_Value,Donors_1_IsSoleBeneficiary,VisitLocations_2_Country,VisitLocations_2_Destination,VisitLocations_3_Country,VisitLocations_3_Destination,Donors_2_Name,Donors_2_IsPrivateIndividual,Donors_2_PublicAddress,Donors_2_PaymentType,Donors_2_PaymentDescription,Donors_2_Value,Donors_2_IsSoleBeneficiary,Donors_3_Name,Donors_3_IsPrivateIndividual,Donors_3_PublicAddress,Donors_3_PaymentType,Donors_3_PaymentDescription,Donors_3_Value,Donors_3_IsSoleBeneficiary,Donors_4_Name,Donors_4_IsPrivateIndividual,Donors_4_PublicAddress,Donors_4_PaymentType,Donors_4_PaymentDescription,Donors_4_Value,Donors_4_IsSoleBeneficiary,Donors_5_Name,Donors_5_IsPrivateIndividual,Donors_5_PublicAddress,Donors_5_PaymentType,Donors_5_PaymentDescription,Donors_5_Value,Donors_5_IsSoleBeneficiary,Link_1
10630,,International visit to India between 23 August 2024 and 31 August 2024,2024-09-03,2024-09-30,,Visits outside the UK,Sojan Joseph,5247,,India,Kerela,To take part in an annual news conclave to discuss changes in the world including migration.,23/08/2024,31/08/2024,,,Malayala Manorama,False,"PB No 26, K K Road, Kottayam, Kerela, India.",In kind,"Flights (£1500 approximately), accommodation (£100 approximately), meals (£100 approximately), local travel (£100 approximately)",1800.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10630
10845,,International visit to France between 30 August 2024 and 31 August 2024,2024-09-28,2024-09-28,,Visits outside the UK,Ben Coleman,5344,,France,Blois,To speak at a meeting,30/08/2024,31/08/2024,,,Parti socialiste,False,"59 Rue Jules Vanzuppe - 94200 Ivry sur Seine, France",In kind,Travel and accommodation. I paid for my own meals,446.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10845
10783,,International visit to United States between 18 August 2024 and 22 August 2024,2024-09-21,2024-09-21,,Visits outside the UK,Mike Tapp,5266,,United States,Chicago,"Policy analysis meetings and comparisons between the UK and US, and visit to the DNC.",18/08/2024,22/08/2024,,,Progressive Policy Institute,False,"1919 M Street Northwest, Suite 300, Washington DC, 20036 United States",In kind,"Flights, accommodation, meals and access to the Democratic National Convention.",2909.81,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10783
10770,,International visit to France between 30 August 2024 and 01 September 2024,2024-09-20,2024-09-20,,Visits outside the UK,Vicky Foxcroft,4491,,France,Paris,To meet with stakeholders and disabled athletes,30/08/2024,01/09/2024,,,Allywyn Entertainment Ltd (operator of the National Lottery),False,"Magdalen House, Tolpits Lane, Watford WD18 9RN",In kind,"Eurostar, Tickets to Paralympics, Hotel, transfers, meals",4000.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10770
10760,,International visit to Pakistan between 25 August 2024 and 29 August 2024,2024-09-20,2024-09-20,,Visits outside the UK,Naz Shah,4409,,Pakistan,,"To visit Islamic Relief Pakistan's flood response and women's empowerment projects, in the capacity of a charity ambassador",25/08/2024,29/08/2024,,,Islamic Relief Pakistan,False,"2nd Floor, IRM Complex, Plot # 7, Sunrise Avenue, Park Road, near COMSATS University, Islamabad",In kind,"Flights, accommodation and food: estimated value £3975.38",3975.38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10760
10754,,International visit to Armenia between 25 August 2024 and 29 August 2024,2024-09-19,2024-09-19,,Visits outside the UK,Stephen Gethins,4434,,Armenia,,To conduct interviews for new Fellows for the John Smith Trust,25/08/2024,29/08/2024,,,John Smith Trust,False,"3rd Floor Suite, 207 Regent Street, London, England, W1B 3HH",In kind,"Flights, accommodation, meals and car parking at Edinburgh airport",2798.34,True,Azerbaijan,,Georgia,Tbilisi airport (transfer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10754
10759,,International visit to Gibraltar between 08 September 2024 and 10 September 2024,2024-09-19,2024-09-19,,Visits outside the UK,Mrs Sharon Hodgson,1521,,Gibraltar,,"Gibraltar National Day, as well as associated meetings and briefings",08/09/2024,10/09/2024,,,HM Government of Gibraltar,False,"Gibraltar House, 150 Strand, London WC2R 1JA",In kind,"Flights (£1411.48), accommodation (£800) and meals (£500) for me and a staff member.",2711.48,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10759
10742,,International visit to France between 07 September 2024 and 09 September 2024,2024-09-18,2024-09-18,,Visits outside the UK,Tom Rutland,5222,,France,Paris,Attending the Paris 2024 Paralympic Games,07/09/2024,09/09/2024,,,Channel 4,False,"Channel 4, 124 Horseferry Road, London SW1P 2TX",In kind,"Accommodation (£840), meal (£25), two para table tennis tickets (£70), two wheelchair basketball tickets (£200), two para canoe tickets (£80) two Paralympics closing ceremony tickets (£1000)",2215.00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10742
10721,,International visit to United States between 19 August 2024 and 22 August 2024,2024-09-16,2024-09-16,,Visits outside the UK,Lucy Rigby,5333,,United States,Chicago,To attend the Democratic National Congress,19/08/2024,22/08/2024,,,Progressive Policy Institute,False,"Progressive Policy Institute, 1919 M Street NW, Ste 300, Washington, DC 20036 USA",In kind,"Flights, accommodation, some meals, entry to Democratic National Congress",2934.89,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10721
10447,,International visit to Taiwan between 24 July 2024 and 31 July 2024,2024-08-14,2024-09-02,,Visits outside the UK,Chris Law,4403,,Taiwan,,"To attended the annual summit of the Inter-Parliamentary Alliance on China from 28 to 31 of July, to discuss the importance of peace and stability in the Indo-Pacific to domestic prosperity. The visit included a day organised by the Ministry of Foreign Affairs, Taiwan, who met flight, accommodation, meal and transportation costs",24/07/2024,31/07/2024,,,"Ministry of Foreign Affairs, Taiwan",False,"No 2, Ketagalan Blvd, Zhongzheng District, Taipei City, Taiwan",In kind,"Flights: (TWD 226,700/£5462.65), accommodation: (TWD 7623 per night, TWD 22,869 in total/ £551.06), meals: (TWD 10,200/£245.78) and local transportation: (TWD 1,280/£30.84)
Grand Total: TWD 261,049 / GBP 6290.34 (Rate 1 GBP = 41.5 TWD)",6290.34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10447
10422,,International visit to Taiwan between 27 July 2024 and 31 July 2024,2024-08-13,2024-09-02,,Visits outside the UK,Sarah Champion,4267,,Taiwan,,Inter-Parliamentary Alliance on China Taipei Summit,27/07/2024,31/07/2024,,,MOFA Taiwan,False,"50 Grosvenor Gardens, London SW1W 0EB",In kind,"Flights (£5,530), hotel (approx. £551),  local transportation (approx £31) and food (approx. £246)",6358.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10422
10426,,International visit to Taiwan between 27 July 2024 and 31 July 2024,2024-08-13,2024-09-02,,Visits outside the UK,Sir Iain Duncan Smith,152,,Taiwan,Taipei,"To attend the annual summit of the Inter-Parliamentary Alliance on China from 28 to 31 of July, to discuss the importance of peace and stability in the Indo-Pacific to domestic prosperity.",27/07/2024,31/07/2024,,,"Ministry of Foreign Affairs, Taiwan",False,"No. 2, Ketagalan Blvd, Zhongzheng District, Taipei City, Taiwan",In kind,"Flights, hotel, meals and local transportation",6357.69,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10426
9496,,International visit to Cyprus between 08 February 2024 and 11 February 2024,2024-08-02,2024-08-04,,Visits outside the UK,David Reed,5347,,Cyprus,Northern Cyprus,"Parliamentary fact-finding delegation to learn about the political system, history, culture, and economy in Northern Cyprus.",08/02/2024,11/02/2024,,,The Turkish Cypriot Chamber of Commerce,False,"90 Bedrettin Demirel Caddesi Yenişehir, Lefkoşa",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150.00,True,,,,,Cyprus Premier,False,"239-241 Kennington Ln, London SE11 5QU",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150.00,True,The Arkin Group,False,"P.O. Box : 309 Girne- Kıbrıs, 99300",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150.00,True,The British Residents Society,False,"Mustafa Cagatay Avenue, Girne",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150.00,True,Turkish Airlines,False,"Istanbul Atatürk Airport, Yeşilköy, Bakırköy, Istanbul, Türkiye",In kind,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",1150.00,True,https://interests-api.parliament.uk/api/v1/Interests/9496
9928,,International visit to Iraq between 16 April 2024 and 21 April 2024,2024-08-03,2024-08-04,,Visits outside the UK,Mr Hamish Falconer,5148,,Iraq,,To deepen my understanding of the circumstances in Iraqi Kurdistan and the role of Iraqi Kurds in trans-national challenges facing the UK,16/04/2024,21/04/2024,,,Labour Middle East Council,False,"62 Seymour Grove Old Traffford, Manchester, United Kingdom, M16 0LN",In kind,"Flights, accommodation and meals",1200.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9928
9438,,International visit to France between 11 March 2024 and 14 March 2024,2024-08-02,2024-08-04,,Visits outside the UK,Satvir Kaur,5271,,France,,Attended in my role as Chair of LGA City Regions Board.,11/03/2024,14/03/2024,,,MIPIM (RX Global),False,"125 London Wall, Barbican, London EC2Y 5AJ",In kind,conference pass and accommodation,2050.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9438
9331,,International visit to Germany between 23 July 2024 and 25 July 2024,2024-08-02,2024-08-04,,Visits outside the UK,David Mundell,1512,,Germany,,Attending AIDS 2024 Conference,23/07/2024,25/07/2024,,,StopAids,False,"167-169 Great Portland Street, 5th Floor, London W1W 5PF",In kind,Day Pass to AIDS 2024 Conference (USD 595),467.11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9331
8852,,International visit to Croatia between 08 September 2023 and 13 September 2023,2024-08-01,2024-08-04,,Visits outside the UK,Olly Glover,5318,,Croatia,Split,Holiday with friends. The dates are for this specific aspect which was funded by another person. It was part of a wider holiday and I covered remaining costs.,08/09/2023,13/09/2023,,,Tom Howat,True,,In kind,"Accommodation, meals and a boat trip",442.54,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8852
9826,,International visit to Germany between 09 May 2024 and 12 May 2024,2024-08-04,2024-08-04,,Visits outside the UK,Richard Tice,5161,,Germany,,Speak and research,09/05/2024,12/05/2024,,,Le Cercle,False,"85 Gt Portland St
London W1W 7LT",In kind,"Flights (£300), accommodation (£300) and meals (£200)",800.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9826
10168,,International visit to United States between 17 July 2024 and 19 July 2024,2024-08-04,2024-08-04,,Visits outside the UK,Nigel Farage,5091,,United States,,To support a friend who was almost killed and to represent Clacton on the world stage.,17/07/2024,19/07/2024,,,Mr Christopher Harborne,True,,In kind,Flights and accommodation for me and one staffer,32836.00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10168
10176,,International visit to United States between 14 January 2024 and 19 January 2024,2024-08-04,2024-08-04,,Visits outside the UK,Dr Zubir Ahmed,5213,,United States,,Comparative policy analysis between the UK and USA.,14/01/2024,19/01/2024,,,Progressive Policy Institute,False,"1919 M Street Northwest, Suite 300, Washington DC 20036 United States",In kind,"Flights, accommodation and meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10176
8931,,International visit to Belgium between 16 April 2024 and 17 April 2024,2024-08-04,2024-08-04,,Visits outside the UK,Nigel Farage,5091,,Belgium,,To speak at a conference,16/04/2024,17/04/2024,,,George Cottrell,True,,In kind,Return travel and accommodation for Mr Farage and one staffer and security provision,9253.60,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8931
9159,,International visit to United States between 14 January 2024 and 19 January 2024,2024-08-01,2024-08-04,,Visits outside the UK,Kirsty McNeill,5114,,United States,,"Comparative policy analysis between the UK and US, co-organised by Progressive Britain",14/01/2024,19/01/2024,,,Progressive Policy Institute,False,"1919 M Street Northwest, Suite 300 Washington DC, 20036 USA",In kind,"Flights, accommodation and meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9159
9892,,International visit to United States between 14 January 2024 and 19 January 2024,2024-08-03,2024-08-04,,Visits outside the UK,Kanishka Narayan,5039,,United States,,Comparative policy analysis between the UK and US,14/01/2024,19/01/2024,,,Progressive Policy Institute,False,"1919 M Street, Northwest Suite 300, Washington DC 20036, United States of America",In kind,"flights, accommodation and meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9892
9305,,International visit to United States between 14 January 2024 and 19 January 2024,2024-08-02,2024-08-04,,Visits outside the UK,Lucy Rigby,5333,,United States,,Comparative policy analysis between the UK and the US,14/01/2024,19/01/2024,,,Progressive Policy Institute,False,"1919 M Street NW, Suite 300, Washington DC 20036 USA",In kind,"flights, accommodation and meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9305
8856,,International visit to Ireland between 09 February 2024 and 12 February 2024,2024-08-01,2024-08-04,,Visits outside the UK,Olly Glover,5318,,Ireland,"Ballyportry Castle, near Ennis",Holiday,09/02/2024,12/02/2024,,,Tom Howat,True,,In kind,Accommodation (£376.50),376.50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8856
9886,,International visit to United States between 14 January 2024 and 19 January 2024,2024-08-03,2024-08-04,,Visits outside the UK,Mr Hamish Falconer,5148,,United States,,Comparative policy analysis between the UK and US,14/01/2024,19/01/2024,,,Progressive Policy Institute,False,"1919 M St NW, Washington, DC 20036, United States",In kind,"Flight, accommodation, meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9886
9473,,International visit to Israel between 12 February 2024 and 15 February 2024,2024-08-02,2024-08-04,,Visits outside the UK,Katie Lam,5285,,Israel,,Fact finding political delegation,12/02/2024,15/02/2024,,,Conservative Friends of Israel Ltd (CFI Ltd),False,"CFI Ltd, PO Box 72288, London SW1P 9LB",In kind,"flights, accommodation and hospitality",2650.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9473
8516,,International visit to China between 19 March 2024 and 23 March 2024,2024-07-31,2024-08-04,,Visits outside the UK,Sir Geoffrey Clifton-Brown,249,,China,Beijing,Engagements with British business and other connected meetings,19/03/2024,23/03/2024,As part of a cross party delegation of MPs attending 12th Senior Leader's Forum,,All Party Parliamentary China Group,True,,In kind,"flights (£3,064), hotel (£423) and meals (£63)",3855.00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8516
9427,,International visit to United States between 14 January 2024 and 21 January 2024,2024-08-02,2024-08-04,,Visits outside the UK,Satvir Kaur,5271,,United States,,Comparative policy analysis between the UK and US,14/01/2024,21/01/2024,,,Progressive Policy Institute,False,"1919 M Street, Northwest Suite, 300 Washington DC 20036, United States",In kind,"flights, accommodation and meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9427
9321,,International visit to United States between 14 January 2024 and 19 January 2024,2024-08-02,2024-08-02,,Visits outside the UK,Mike Tapp,5266,,United States,,Policy analysis meetings and comparisons between the UK and US.,14/01/2024,19/01/2024,,,Progressive Policy Institute,False,"1919 M Street Northwest, Suite 300, Washington DC, 20036 United States",In kind,"Flights, accommodation and meals",7856.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9321
9148,,International visit to Jordan between 23 July 2023 and 27 July 2023,2024-08-02,2024-08-02,,Visits outside the UK,Fred Thomas,5174,,Jordan,,"To demonstrate the impact UK Aid has in communities in Jordan and its security role within the region, especially through its refugee programme.",23/07/2023,27/07/2023,,,The Gates Foundation,False,"B323, 62 Buckingham Gate, London SW1E 6QW",In kind,"Flight (£1080.41), accommodation (£706.50), meals (£342.17), DBS and Visa (£67.78)",2196.86,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9148
9015,,International visit to Jordan between 23 July 2023 and 27 July 2024,2024-08-01,2024-08-01,,Visits outside the UK,Helena Dollimore,5192,,Jordan,Amman and Zaatari refugee camp,"Visit to Jordan hosted by Gates Foundation via the Coalition for Global Prosperity to demonstrate the impact UK Aid has in communities in Jordan and its security role within the region, especially through its refugee programme.",23/07/2023,27/07/2024,,,Gates Foundation via the Coalition for Global Prosperity,False,"B323, 62 Buckingham Gate, London SW1E 6QW",In kind,"Hotel, flights and meals",2196.86,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9015
