ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,Link_1
11090,,Shares in Highland Bookshop Ltd,2024-10-28,2024-10-28,,Shareholdings,Mr Angus MacDonald,5362,(i) Shareholdings: over 15% of issued share capital,,,Highland Bookshop Ltd,,Business with my wife,,https://interests-api.parliament.uk/api/v1/Interests/11090
11083,,Shares in Highland Cinema Ltd,2024-10-28,2024-10-28,,Shareholdings,Mr Angus MacDonald,5362,(i) Shareholdings: over 15% of issued share capital,,,Highland Cinema Ltd,,Jointly with wife,DelegatedManagementCompany,https://interests-api.parliament.uk/api/v1/Interests/11083
10980,,Shares in P4847 a Freeze drying pharma related business,2024-10-10,2024-10-10,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,P4847 a Freeze drying pharma related business,,,,https://interests-api.parliament.uk/api/v1/Interests/10980
10817,,Shares in CoffeeDrop Delivery Ltd,2024-09-26,2024-09-26,,Shareholdings,John Glen,4051,"(ii) Other shareholdings, valued at more than £70,000",24/09/2024,,CoffeeDrop Delivery Ltd,A start up coffee delivery business,,,https://interests-api.parliament.uk/api/v1/Interests/10817
10655,,Shares in Reform UK Party Ltd,2024-09-08,2024-09-10,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,08/07/2024,,Reform UK Party Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/10655
10649,,Shares in Sussex Street Speaking and Publishing Limited,2024-09-06,2024-09-06,,Shareholdings,Jeremy Hunt,1572,(i) Shareholdings: over 15% of issued share capital,29/07/2024,,Sussex Street Speaking and Publishing Limited,Limited company that will receive income and incur expenses related to my writing and speaking engagements.,Jointly with my partner,,https://interests-api.parliament.uk/api/v1/Interests/10649
10598,,Shares in Thorn In The Side Limited,2024-08-29,2024-09-02,,Shareholdings,Nigel Farage,5091,(i) Shareholdings: over 15% of issued share capital,,,Thorn In The Side Limited,"Media, Speaking, Journalism and other Services",,,https://interests-api.parliament.uk/api/v1/Interests/10598
10595,,Shares in Farage Media Limited,2024-08-29,2024-09-02,,Shareholdings,Nigel Farage,5091,(i) Shareholdings: over 15% of issued share capital,,,Farage Media Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/10595
8425,,Shares in Miller Fraser Ltd,2024-08-12,2024-09-02,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,09/05/2023,,Miller Fraser Ltd,Communications consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/8425
10596,,Shares in Reform UK Party Limited,2024-08-29,2024-09-02,,Shareholdings,Nigel Farage,5091,(i) Shareholdings: over 15% of issued share capital,,,Reform UK Party Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/10596
10524,,Shares in Crocus and Bluebell Limited,2024-08-22,2024-08-22,,Shareholdings,Jack Rankin,5340,(i) Shareholdings: over 15% of issued share capital,12/08/2024,,Crocus and Bluebell Limited,"Provides energy markets and environmental advisory services to the generators of renewable power, in particular the structuring of long-term power purchase agreements to reach financial close for new build renewable projects.",Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/10524
7750,,Shares in Urban Property Management Ltd,2024-08-03,2024-08-04,,Shareholdings,Alison Taylor,5093,(i) Shareholdings: over 15% of issued share capital,,,Urban Property Management Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/7750
9834,,Shares in A & H Bros (& Others) Investments Limited,2024-08-03,2024-08-04,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,A & H Bros (& Others) Investments Limited,Real estate,,,https://interests-api.parliament.uk/api/v1/Interests/9834
9800,,Shares in Quidnet Capital Partners LLP,2024-08-03,2024-08-04,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,04/07/2024,,Quidnet Capital Partners LLP,Property company,,,https://interests-api.parliament.uk/api/v1/Interests/9800
9797,,Shares in Britain Means Business Ltd,2024-08-03,2024-08-04,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,Britain Means Business Ltd,Consultancy business,,,https://interests-api.parliament.uk/api/v1/Interests/9797
7488,,Shares in StreetFestLive Ltd,2024-08-04,2024-08-04,,Shareholdings,Mr Bayo Alaba,5097,(i) Shareholdings: over 15% of issued share capital,,,StreetFestLive Ltd,Lifestyle media company,,,https://interests-api.parliament.uk/api/v1/Interests/7488
9339,,Shares in The Katie Lam Company,2024-08-02,2024-08-04,,Shareholdings,Katie Lam,5285,(i) Shareholdings: over 15% of issued share capital,,,The Katie Lam Company,Very small company that is the vehicle for my theatrical work.,,,https://interests-api.parliament.uk/api/v1/Interests/9339
10236,,Shares in Maguire Cervantes Property Limited,2024-08-04,2024-08-04,,Shareholdings,Ben Maguire,5350,(i) Shareholdings: over 15% of issued share capital,,,Maguire Cervantes Property Limited,It is a holding company for one let residential property which is already registered  under Category 6,Jointly with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/10236
10005,,Shares in Home Grown Life Ltd,2024-08-03,2024-08-04,,Shareholdings,Victoria Collins,5201,(i) Shareholdings: over 15% of issued share capital,,,Home Grown Life Ltd,"Online gardening products, promoting urban gardening.",,,https://interests-api.parliament.uk/api/v1/Interests/10005
9255,,Shares in Reid Strategy Limited,2024-08-02,2024-08-04,,Shareholdings,Joani Reid,5079,(i) Shareholdings: over 15% of issued share capital,,,Reid Strategy Limited,"Personal service company (no longer trading), in the process of being wound up.",,,https://interests-api.parliament.uk/api/v1/Interests/9255
7482,,Shares in Onit Events Ltd,2024-08-04,2024-08-04,,Shareholdings,Mr Bayo Alaba,5097,(i) Shareholdings: over 15% of issued share capital,,,Onit Events Ltd,Events Consultancy,,DelegatedManagementCompany,https://interests-api.parliament.uk/api/v1/Interests/7482
7490,,Shares in Alaba Properties,2024-08-04,2024-08-04,,Shareholdings,Mr Bayo Alaba,5097,(i) Shareholdings: over 15% of issued share capital,,,Alaba Properties,Real estate company,,,https://interests-api.parliament.uk/api/v1/Interests/7490
9398,,Shares in Tremoge Farm Ltd,2024-08-02,2024-08-04,,Shareholdings,Mr Cathal Mallaghan,5153,(i) Shareholdings: over 15% of issued share capital,01/06/2018,,Tremoge Farm Ltd,Agri Food,Jointly with Spouse,,https://interests-api.parliament.uk/api/v1/Interests/9398
10147,,Shares in Limina Group ltd,2024-08-04,2024-08-04,,Shareholdings,Sarah Smith,5117,(i) Shareholdings: over 15% of issued share capital,,,Limina Group ltd,Consultancy business,Jointly with my husband,,https://interests-api.parliament.uk/api/v1/Interests/10147
9715,,Shares in Rubicon Land Ltd,2024-08-03,2024-08-04,,Shareholdings,Alison Taylor,5093,"(ii) Other shareholdings, valued at more than £70,000",,,Rubicon Land Ltd,"Commercial property development company, land trading ( including residential), energy storage projects, asset management and property investment in various sectors.",Jointly with my spouse and external shareholders,,https://interests-api.parliament.uk/api/v1/Interests/9715
8944,,Shares in AEC Ltd,2024-08-01,2024-08-04,,Shareholdings,Gideon Amos,5250,(i) Shareholdings: over 15% of issued share capital,,,AEC Ltd,Chartered Architects & Town Planners,,,https://interests-api.parliament.uk/api/v1/Interests/8944
8946,,Shares in French Weir Affordable Homes LLP,2024-08-01,2024-08-04,,Shareholdings,Gideon Amos,5250,(i) Shareholdings: over 15% of issued share capital,,,French Weir Affordable Homes LLP,,,,https://interests-api.parliament.uk/api/v1/Interests/8946
9830,,Shares in CHNA Ltd,2024-08-03,2024-08-04,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,CHNA Ltd,Real estate,,,https://interests-api.parliament.uk/api/v1/Interests/9830
9822,,Shares in Getting to Win Ltd.,2024-08-03,2024-08-04,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,Getting to Win Ltd.,Political campaign support services,,,https://interests-api.parliament.uk/api/v1/Interests/9822
9055,,Shares in The William Arthur Robinson Will Trust,2024-08-01,2024-08-04,,Shareholdings,James Naish,5047,(i) Shareholdings: over 15% of issued share capital,,,The William Arthur Robinson Will Trust,Trust associated with farm land and buildings left by a relative,,Trust,https://interests-api.parliament.uk/api/v1/Interests/9055
9253,,Shares in [redacted] RTM Company Limited,2024-08-02,2024-08-04,,Shareholdings,Joani Reid,5079,(i) Shareholdings: over 15% of issued share capital,,,[redacted] RTM Company Limited,Residents property management company,,,https://interests-api.parliament.uk/api/v1/Interests/9253
9863,,Shares in One Nine Seven Investments Ltd,2024-08-03,2024-08-04,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,One Nine Seven Investments Ltd,Real estate,,,https://interests-api.parliament.uk/api/v1/Interests/9863
