ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link,Updated_2,Updated_3,Updated_4,Updated_5
12484,"Agreement starting 01 May 2025 - £15,000.00",12483,2025-05-21,2025-05-21,,Employment and earnings - Ongoing paid employment,3912,Richard Fuller,Yearly,2025-05-01,,Monthly,,Monetary,,15000.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12484,,,,
12322,"Agreement starting 01 April 2025 - £3,000.00",12321,2025-04-30,2025-05-01,,Employment and earnings - Ongoing paid employment,4651,Dan Carden,Monthly,2025-04-01,,Monthly,,Monetary,"(£36,000 per annum)",3000.00,12.00,approximately,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12322,,,,
11942,Agreement starting 26 February 2025 - £977.01,3636,2025-03-05,2025-03-05,,Employment and earnings - Ongoing paid employment,4573,Dr Rosena Allin-Khan,Monthly,2025-02-26,,Yearly,,Monetary,Most work is at unsociable hours.,977.01,213.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11942,,,,
11843,"Agreement starting 14 February 2025 - £3,000.00",11842,2025-02-20,2025-02-20,,Employment and earnings - Ongoing paid employment,4020,George Freeman,Monthly,2025-02-14,,Monthly,,Monetary,,3000.00,30.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11843,,,,
11472,Agreement starting 01 November 2024 - £791.55,11471,2024-12-13,2024-12-17,,Employment and earnings - Ongoing paid employment,4434,Stephen Gethins,Monthly,2024-11-01,,Monthly,This post is solely focused on the School of International Relations.,Monetary,This is payment is for work undertaken at the School of International Relations,791.55,12.00,The number of hours is approximate and depends on my main job in Parliament,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11472,,,,
11423,"Agreement starting 01 December 2024 - £1,000.00",11422,2024-12-03,2024-12-03,2025-03-27,Employment and earnings - Ongoing paid employment,4020,George Freeman,Monthly,2024-12-01,,Monthly,,Monetary,,1000.00,12.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11423,,,,
11390,Agreement - £531.55,6538,2024-08-02,2024-11-29,2024-08-29,Employment and earnings - Ongoing paid employment,5111,Martin Wrigley,Monthly,,,Weekly,,Monetary,Allowance,531.55,20.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11390,2024-11-27,,,
4829,"Agreement starting 22 November 2022 - £33,000.00",4828,2022-12-14,2024-11-20,2024-10-29,Employment and earnings - Ongoing paid employment,146,Barry Gardiner,Yearly,2022-11-22,2024-04-17,Monthly,,Monetary,paid monthly,33000.00,12.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4829,,,,
11257,"Agreement starting 16 October 2024 - £3,000.00",11256,2024-11-13,2024-11-13,,Employment and earnings - Ongoing paid employment,4020,George Freeman,Monthly,2024-10-16,,Weekly,,Monetary,,3000.00,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11257,,,,
11094,"Agreement - £13,777.00",11093,2024-10-28,2024-10-28,2025-01-29,Employment and earnings - Ongoing paid employment,5232,Lorraine Beavers,Yearly,,2025-01-01,Monthly,,Monetary,"approximate annual allowance, paid monthly. A portion of this sum has been donated to local charities.",13777.00,20.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11094,,,,
11070,"Agreement - £3,960.00",6685,2024-10-28,2024-10-28,,Employment and earnings - Ongoing paid employment,5134,Andy MacNae,Yearly,,,Yearly,,In kind,Use of company vehicle. (Since leaving the company employment on 5 July I have retained use of the company vehicle until it is sold),3960.00,0.00,No hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11070,,,,
11092,"Agreement starting 15 July 2024 - £4,704.39",11029,2024-10-28,2024-10-28,2025-01-29,Employment and earnings - Ongoing paid employment,5232,Lorraine Beavers,Yearly,2024-07-15,2025-01-15,Monthly,,Monetary,"approximate annual allowance, paid monthly. A portion of this sum has been donated to local charities.",4704.39,20.00,approximate hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11092,,,,
6037,"Agreement - £1,444.78",6030,2024-08-02,2024-10-17,2024-09-02,Employment and earnings - Ongoing paid employment,5070,Lisa Smart,Monthly,,2024-09-10,Monthly,,Monetary,including a Special Responsibility Allowance,1444.78,20.00,estimate of average hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6037,2024-10-16,,,
6557,"Agreement - £2,791.72",6552,2024-07-31,2024-10-10,2024-10-09,Employment and earnings - Ongoing paid employment,5155,Chris Kane,Monthly,,2024-09-24,Weekly,,Monetary,,2791.72,20.00,this is an approximate number,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6557,,,,
10886,Agreement starting 06 May 2010 - £115.23,6111,2024-10-03,2024-10-09,,Employment and earnings - Ongoing paid employment,5345,Peter Lamb,Monthly,2010-05-06,2024-09-06,Monthly,,Monetary,,115.23,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10886,,,,
10716,Agreement starting 06 May 2010 - £619.50,6111,2024-10-03,2024-10-09,,Employment and earnings - Ongoing paid employment,5345,Peter Lamb,Monthly,2010-05-06,2024-09-06,Monthly,,Monetary,,619.50,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10716,,,,
8266,"Agreement starting 05 May 2017 - £21,345.00",7158,2024-07-30,2024-09-27,2024-09-25,Employment and earnings - Ongoing paid employment,5157,Susan Murray,Yearly,2017-05-05,2024-11-30,Monthly,,Monetary,,21345.00,90.00,This is an approximate number of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8266,2024-12-16,,,
6406,Agreement - £921.22,6387,2024-07-23,2024-09-27,2024-09-26,Employment and earnings - Ongoing paid employment,5090,Tom Morrison,Monthly,,2024-09-09,Weekly,,Monetary,,921.22,17.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6406,,,,
10793,"Agreement starting 31 July 2023 - £1,223.38",10792,2023-08-17,2024-09-23,,Employment and earnings - Ongoing paid employment,4995,Sarah Dyke,Monthly,2023-07-31,,Weekly,,Monetary,,1223.38,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10793,,,,
7154,Agreement - £393.50,7153,2024-07-25,2024-09-11,2024-08-23,Employment and earnings - Ongoing paid employment,5163,Peter Prinsley,Monthly,,2024-08-23,Monthly,,Monetary,,393.50,10.00,estimated hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7154,,,,
7898,"Agreement - £1,433.50",7897,2024-07-31,2024-09-02,2024-08-30,Employment and earnings - Ongoing paid employment,5073,Marie Goldman,Monthly,,2024-07-24,Weekly,Deputy Leader of the Council and Cabinet Member,Monetary,,1433.50,22.50,Hours worked are approximate.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7898,,,,
6132,"Agreement starting 05 July 2024 - £9,627.00",6131,2024-07-11,2024-09-02,2024-08-17,Employment and earnings - Ongoing paid employment,5327,Vikki Slade,Yearly,2024-07-05,2024-07-31,Monthly,advice and scrutiny,Monetary,,9627.00,16.00,approximate hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6132,2024-09-06,,,
8630,"Agreement starting 02 May 2011 - £13,900.00",8627,2024-08-02,2024-09-02,,Employment and earnings - Ongoing paid employment,5271,Satvir Kaur,Yearly,2011-05-02,2024-07-30,Weekly,,Monetary,,13900.00,35.00,estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8630,,,,
7983,"Agreement - £1,083.69",7978,2024-08-03,2024-09-02,2024-08-23,Employment and earnings - Ongoing paid employment,5193,Callum Anderson,Monthly,,2024-07-31,Weekly,,Monetary,I received the allowance in July 2024 but declined the allowance for August 2024.,1083.69,10.00,Approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7983,,,,
9585,"Agreement - £1,715.58",6541,2024-08-02,2024-08-30,2024-08-29,Employment and earnings - Ongoing paid employment,5111,Martin Wrigley,Monthly,,2024-07-30,Weekly,,Monetary,,1715.58,20.00,hours vary with council business,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9585,,,,
10594,"Agreement starting 01 August 2024 - £1,256.83",6541,2024-08-29,2024-08-30,2025-05-10,Employment and earnings - Ongoing paid employment,5111,Martin Wrigley,Monthly,2024-08-01,2025-05-04,Weekly,,Monetary,,1256.83,8.00,hours vary according to council business,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10594,,,,
7906,"Agreement - £1,144.17",7901,2024-07-31,2024-08-30,2024-08-30,Employment and earnings - Ongoing paid employment,5073,Marie Goldman,Monthly,,2025-03-19,Weekly,,Monetary,,1144.17,5.00,"This is estimated and approximate. Some weeks it's more, some weeks less.",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7906,2025-03-31,,,
