ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link
12634,Payment expected for services on 13 June 2025 - £150.00,12296,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,4500,Clive Lewis,False,2025-06-13,,Monetary,One article written,150.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12634
12636,"Payment received on 31 May 2025 - £4,539.95",4341,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,1466,Dr Andrew Murrison,True,2025-05-31,,Monetary,,4539.95,80.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12636
12638,Payment received on 12 June 2025 - £250.00,3680,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2025-06-12,,Monetary,Article published on 16th May,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12638
12608,"Payment received on 06 June 2025 - £10,000.00",11622,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,4441,Sir Oliver Dowden,True,2025-06-06,,Monetary,,10000.00,20.00,Up to two days per month,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12608
12624,Payment expected for services on 06 June 2025 - £150.00,12296,2025-06-13,2025-06-13,,Employment and earnings - Ad hoc payments,4500,Clive Lewis,False,2025-06-06,,Monetary,One article written,150.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12624
12621,"Payment received on 03 June 2025 - £1,000.00",12619,2025-06-12,2025-06-13,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2025-06-03,,Monetary,,1000.00,20.00,For various seminars that I was asked to speak at and or chair,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12621
12614,"Payment received on 15 May 2025 - £156,435.24",12316,2025-06-11,2025-06-12,,Employment and earnings - Ad hoc payments,4483,Rishi Sunak,True,2025-05-15,,Monetary,,156435.24,2.50,,True,Makena Capital,False,"Makena Capital Management LLP, 2755 Sand Hill Road, Suite 200, Menlo Park, CA 94025 USA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12614
12615,"Payment received on 19 May 2025 - £188,476.20",12316,2025-06-11,2025-06-12,,Employment and earnings - Ad hoc payments,4483,Rishi Sunak,True,2025-05-19,,Monetary,,188476.20,4.00,,True,Chosun Media,False,"The Chosunilbo, 30 Sejong-daero 21 gil, Jung-gu, Seoul, Korea",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12615
12618,"Payment received on 10 June 2025 - £2,250.00",10930,2025-06-12,2025-06-12,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2025-06-10,,Monetary,Articles,2250.00,9.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12618
12605,Payment received on 11 June 2025 - £106.71,11502,2025-06-11,2025-06-11,,Employment and earnings - Ad hoc payments,4743,Lee Anderson,True,2025-06-11,,Monetary,,106.71,12.00,Hours: 12. This is an estimated amount of hours.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12605
12611,Payment received on 13 May 2025 - £300.00,12609,2025-06-11,2025-06-11,,Employment and earnings - Ad hoc payments,4764,Bell Ribeiro-Addy,True,2025-05-13,,Monetary,,300.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12611
12590,"Payment received on 05 June 2025 - £1,200.00",6031,2025-06-07,2025-06-09,,Employment and earnings - Ad hoc payments,5197,Dr Neil Shastri-Hurst,True,2025-06-05,,Monetary,(Includes 15% to be deducted on account of Chamebrs' fees),1200.00,6.00,Approximate number of hours work,True,Talbots Law Limited,False,"23 Foregate Street, Worcester WR1 1DN",Solicitors,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12590
12592,"Payment received on 16 May 2025 - £12,000.00",6922,2025-06-09,2025-06-09,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2025-05-16,,Monetary,,12000.00,10.00,Work undertaken between 1 October and 12 December 2024,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12592
12584,"Payment received on 29 May 2025 - £1,203.96",11413,2025-06-06,2025-06-06,,Employment and earnings - Ad hoc payments,5158,Rupert Lowe,True,2025-05-29,,Monetary,,1203.96,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12584
12577,"Payment received on 03 June 2025 - £1,333.33",4308,2025-06-05,2025-06-05,,Employment and earnings - Ad hoc payments,4084,Esther McVey,True,2025-06-03,,Monetary,for four articles in the Daily Express.,1333.33,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12577
12578,Payment received on 05 June 2025 - £300.00,11234,2025-06-05,2025-06-05,,Employment and earnings - Ad hoc payments,4480,Carolyn Harris,True,2025-06-05,,Monetary,,300.00,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12578
12570,"Payment received on 29 May 2025 - £3,271.17",5988,2025-06-04,2025-06-04,,Employment and earnings - Ad hoc payments,5067,Tony Vaughan,True,2025-05-29,,Monetary,Payment for work carried out prior to 4th July 2024,3271.17,0.00,none since my election,True,confidential,False,confidential,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12570
12554,Payment received on 30 April 2025 - £25.00,11502,2025-06-03,2025-06-03,,Employment and earnings - Ad hoc payments,4743,Lee Anderson,True,2025-04-30,,Monetary,,25.00,2.00,This is an estimated amount of hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12554
12553,Payment received on 14 May 2025 - £86.29,11502,2025-06-03,2025-06-03,,Employment and earnings - Ad hoc payments,4743,Lee Anderson,True,2025-05-14,,Monetary,,86.29,6.00,This is an estimated amount of hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12553
12552,Payment received on 29 May 2025 - £101.42,11502,2025-06-03,2025-06-03,,Employment and earnings - Ad hoc payments,4743,Lee Anderson,True,2025-05-29,,Monetary,,101.42,8.00,This is an estimated amount of hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12552
12307,"Payment received on 15 April 2025 - £26,817.60",6852,2025-05-31,2025-06-02,,Employment and earnings - Ad hoc payments,5091,Nigel Farage,True,2025-04-15,,Monetary,,26817.60,12.00,This is an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12307
12306,"Payment received on 31 March 2025 - £36,688.60",6852,2025-05-31,2025-06-02,,Employment and earnings - Ad hoc payments,5091,Nigel Farage,True,2025-03-31,,Monetary,,36688.60,12.00,This is an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12306
12537,"Payment received on 23 May 2025 - £29,175.75",3869,2025-06-01,2025-06-01,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2025-05-23,,Monetary,"Speaking at a conference. (This includes £5482.70 to cover return flights, three nights accommodation in Seoul and airport transfers for me.)",29175.75,18.00,,True,Chosun Media,False,"30 Sejong-daero 21-gil, Jung-gu, Seoul, South Korea",South Korea Media organisation,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12537
