ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,StartDate,EndDate,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RegistrableRentalIncome,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,Link,Updated_2,Updated_3
12480,Property in Anglesey,,2025-05-21,2025-05-21,,Land and property (within or outside the UK),5403,Sarah Pochin,,,False,Anglesey,House,With my husband,False,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/12480,,
12364,Property in Hove,,2025-05-07,2025-05-07,,Land and property (within or outside the UK),400,John Healey,2025-01-10,,False,Hove,"Two bed apartment owned by me and my two siblings, following the death of my mother.  Probate was 10 Jan 2025.  The value is £180,000 and I own a third.",Co-owned with my two sisters,False,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/12364,,
2228,Property in New York,,2025-04-04,2025-04-07,,Land and property (within or outside the UK),3912,Richard Fuller,,2025-02-26,True,New York,flat,,True,,,,1,False,False,United States,,Residential,https://interests-api.parliament.uk/api/v1/Interests/2228,,
10823,Property in London,,2024-09-27,2024-09-27,,Land and property (within or outside the UK),4031,Rachel Reeves,2024-09-09,,False,London,House,Co-owned with a family member.,True,The rental income is paid jointly to my partner and me.,2024-09-09,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10823,,
5985,Property in London,,2024-08-07,2024-09-02,,Land and property (within or outside the UK),5332,Lincoln Jopp,,,False,London,House,owned with my wife,False,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5985,,
9030,Property in Leicestershire,,2024-08-01,2024-08-04,2025-06-09,Land and property (within or outside the UK),5258,Louise Jones,,,True,Leicestershire,,,True,,2024-05-06,2025-03-26,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9030,,
9222,Property in Folkestone and Hythe,,2024-08-04,2024-08-04,,Land and property (within or outside the UK),5091,Nigel Farage,,,True,Folkestone and Hythe,House,,False,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9222,,
9867,Property in London,,2024-08-04,2024-08-04,2025-02-20,Land and property (within or outside the UK),5148,Mr Hamish Falconer,,2024-12-21,True,London,,,True,,,2024-12-21,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9867,,
9935,Property in Hamburg,,2024-08-03,2024-08-04,,Land and property (within or outside the UK),5171,Julia Buckley,,,False,Hamburg,1 bed Flat,Co-owned with 2 step-family members,False,,,,1,False,False,Germany,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9935,,
10143,Property in London,,2024-08-04,2024-08-04,2024-10-31,Land and property (within or outside the UK),5117,Sarah Smith,,,True,London,house,,True,,2024-07-04,2024-09-01,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10143,,
