ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,VisitLocations_Country_3,VisitLocations_Destination_3,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5
13186,International visit to Ghana between 28 July 2025 and 03 August 2025,,2025-08-29,2025-09-01,,Visits outside the UK,4638,Mr Tanmanjeet Singh Dhesi,Ghana,,To showcase how UK science is fighting malaria in Ghana.,2025-07-28,2025-08-03,,Malaria No More,False,"85 Great Portland Street, First Floor, London W1W 7LT",In kind,"Flights (£1912.12), accommodation (£964.07), parking (£178.00), internal transport (£835.61), visa (£140) and meals (£200)",4229.80,False,https://interests-api.parliament.uk/api/v1/Interests/13186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13205,International visit to Israel between 24 August 2025 and 29 August 2025,,2025-09-01,2025-09-01,,Visits outside the UK,5340,Jack Rankin,Israel,Israel and the Palestinian Authority,Fact finding political delegation,2025-08-24,2025-08-29,,Conservative Friends of Israel Limited,False,"Conservative Friends of Israel Ltd, PO Box 72288, London, SW1P 9LB",In kind,"Air travel, accommodation and hospitality with an estimated value",4530.00,True,https://interests-api.parliament.uk/api/v1/Interests/13205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13168,International visit to Poland between 29 July 2025 and 03 August 2025,,2025-08-26,2025-08-26,,Visits outside the UK,5065,Rachel Taylor,Poland,,"My partner and I drove a decommissioned ambulance full of medical supplies to the Poland/ Ukraine Border as part of a humanitarian mission organised by LKQ. The trip covered 1,300 miles and consisted of overnight stays along the route with a return flight once the ambulance was handed over to Ukranian medics.",2025-07-29,2025-08-03,,LKQ Group (UK) Limited,False,"T2 Birch Coppice Business Park, Danny Morson Way, Dordon 
B78 1SE",In kind,"Flights £216.08, accommodation £329.60. 
Per person cost (£272.84)",545.68,False,https://interests-api.parliament.uk/api/v1/Interests/13168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13166,International visit to Jordan between 20 July 2025 and 25 July 2025,,2025-08-22,2025-08-22,,Visits outside the UK,5331,Rosie Wrighting,Jordan,,Overseas visit to Jordan to see UK Development programmes ‘in-action’ and meet with development experts and partners.,2025-07-20,2025-07-25,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights (£883), accommodation (£649.9), food and refreshments (£270.23)",1803.13,True,https://interests-api.parliament.uk/api/v1/Interests/13166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13147,International visit to France between 01 August 2025 and 06 August 2025,,2025-08-19,2025-08-20,,Visits outside the UK,4743,Lee Anderson,France,,Visit to France as part of a group of sixteen people for a speaking engagement.,2025-08-01,2025-08-06,,E.I.R.P LIMITED,False,"Unit 26 Maisies Way, South Normanton, Alfreton, Derbyshire DE55 2DS",In kind,Flights and accommodation,1500.00,False,https://interests-api.parliament.uk/api/v1/Interests/13147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13153,International visit to United States between 13 August 2025 and 17 August 2025,,2025-08-20,2025-08-20,2025-08-28,Visits outside the UK,4359,Stephen Kinnock,United States,"Napa Valley, California","Palo Alto Networks covered the costs for me to accompany my wife on a team-building trip to Napa Valley, organised for board members and their spouses/partners.",2025-08-13,2025-08-17,,Palo Alto Network,False,"3000 Tannery Way, Santa Clara, California 95054",In kind,"Hotel room for me and my wife (£4473.00 approximately), food (£906.00 approximately), flights (£6395.02 inc. immigration and customs fee) and airport transfers (£1099.50 - return journey was shared with my wife).",12873.52,False,https://interests-api.parliament.uk/api/v1/Interests/13153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13139,International visit to Israel between 24 July 2025 and 31 July 2025,,2025-08-18,2025-08-18,,Visits outside the UK,4005,Bob Blackman,Israel,,"To visit Israel and strengthen UK relations, learning more about the current situation on the ground.",2025-07-24,2025-07-31,,Elnet UK,False,"4th Floor 6 Princes Street, London W1B 2LG",In kind,"Flights (£980), insurance (£18.54), hotels (£1,707.23) and food (£495.73). Flights for staff member (£980),
insurance for staff member (£18.54) and food for staff member (£495.73)",4695.77,False,https://interests-api.parliament.uk/api/v1/Interests/13139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13129,International visit to Jordan between 20 July 2025 and 25 July 2025,,2025-08-15,2025-08-18,,Visits outside the UK,5088,Sarah Coombes,Jordan,,Overseas visit to Jordan to see UK Development programmes ‘in-action’ and meet with development experts and partners.,2025-07-20,2025-07-25,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights (£937.30), ccommodation (£649.90), food and refreshments (£270.23)",1857.43,True,https://interests-api.parliament.uk/api/v1/Interests/13129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13137,International visit to Jordan between 20 July 2025 and 25 July 2025,,2025-08-17,2025-08-18,,Visits outside the UK,4051,John Glen,Jordan,,Overseas visit to Jordan to see UK Development programmes ‘in action’ and meet with development experts and partners,2025-07-20,2025-07-25,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights ( £883), accommodation ( £649.9), food and Refreshments (£270.23)",1803.13,True,https://interests-api.parliament.uk/api/v1/Interests/13137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13128,International visit to Jordan between 20 July 2025 and 25 July 2025,,2025-08-14,2025-08-15,,Visits outside the UK,5328,Sean Woodcock,Jordan,,Overseas visit to Jordan to see UK Development programmes ‘in-action’ and meet with development experts and partners.,2025-07-20,2025-07-25,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights (£883), accommodation (£649.90), food and refreshments (£270.23)",1803.13,True,https://interests-api.parliament.uk/api/v1/Interests/13128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
