ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7
13771,Speaking engagement - Blockworks Inc,,2025-11-12,2025-11-12,,Employment and earnings,5091,Nigel Farage,Speaking engagement,2025-10-13,,False,Blockworks Inc,False,False,,133 W 19th St. New York NY 10011,,https://interests-api.parliament.uk/api/v1/Interests/13771,,,,,,
13773,Speaking engagement - Zebu Group Limited,,2025-11-12,2025-11-12,,Employment and earnings,5091,Nigel Farage,Speaking engagement,2025-10-22,,False,Zebu Group Limited,False,False,,"73 Cornhill, London EC3V 3 QQ",,https://interests-api.parliament.uk/api/v1/Interests/13773,,,,,,
7046,"Council Leader, Ynys Mon - Cyngor Ynys Mon",,2025-11-12,2025-11-12,,Employment and earnings,5085,Llinos Medi,"Council Leader, Ynys Mon",,2024-07-18,True,Cyngor Ynys Mon,False,False,,"Council Office, Llangefni, Ynys Mon, LL77 7TW",False,https://interests-api.parliament.uk/api/v1/Interests/7046,,,,,,
13571,Consultant - Odysight AI,,2025-11-11,2025-11-11,,Employment and earnings,4108,Sir Gavin Williamson,Consultant,2025-09-15,,False,Odysight AI,False,False,,"USA Office, 112 North Curry Street, Carson City, Nevada, 897703",False,https://interests-api.parliament.uk/api/v1/Interests/13571,,,,,,
13768,Speaking engagement - Hillsdale College,,2025-11-05,2025-11-06,,Employment and earnings,5091,Nigel Farage,Speaking engagement,,,False,Hillsdale College,False,False,,"33 E. College St, Hillsdale, Michigan 49242",,https://interests-api.parliament.uk/api/v1/Interests/13768,,,,,,
13726,"Guest Panellist - Have I Got News For You, Series 70",,2025-11-03,2025-11-03,,Employment and earnings,4473,Louise Haigh,Guest Panellist,2025-10-31,,False,"Have I Got News For You, Series 70",False,False,Production Company,"Hat Trick Productions, 33 Oval Road, London NW1 7EA",False,https://interests-api.parliament.uk/api/v1/Interests/13726,,,,,,
13732,Speaking Engagement - Association of Consulting Actuaries (ACA),,2025-11-03,2025-11-03,,Employment and earnings,4780,Laura Trott,Speaking Engagement,2025-10-21,2025-10-22,True,Association of Consulting Actuaries (ACA),False,False,,"First Floor (129) 40 Gracechurch Street, London EC3V 0BT",False,https://interests-api.parliament.uk/api/v1/Interests/13732,,,,,,
13630,Senior Advisor - Anthropic Public Benefit Corporation,,2025-10-29,2025-10-29,,Employment and earnings,4483,Rishi Sunak,Senior Advisor,2025-10-09,,False,Anthropic Public Benefit Corporation,False,False,Artificial intelligence company,"Anthropic PBC, 548 Market Street, PMB 90375, San Francisco, California, USA",True,https://interests-api.parliament.uk/api/v1/Interests/13630,,,,,,
13629,Senior Advisor - Microsoft Corporation,,2025-10-29,2025-10-29,,Employment and earnings,4483,Rishi Sunak,Senior Advisor,2025-10-09,,False,Microsoft Corporation,False,False,,"1 Microsoft Way, Redmond, WA 98052, United States of America",True,https://interests-api.parliament.uk/api/v1/Interests/13629,,,,,,
13627,Sunday Times columnist - Times Media Limited,,2025-10-29,2025-10-29,,Employment and earnings,4483,Rishi Sunak,Sunday Times columnist,2025-10-21,,False,Times Media Limited,False,False,,"1 London Bridge Street, London SE1 9GF",True,https://interests-api.parliament.uk/api/v1/Interests/13627,,,,,,
13645,Business referral - GBMW Ltd,,2025-10-28,2025-10-28,,Employment and earnings,4074,Mark Garnier,Business referral,2025-10-22,,False,GBMW Ltd,False,False,Service company,"39 Grange Road, Darlington DL1 5NB",,https://interests-api.parliament.uk/api/v1/Interests/13645,,,,,,
