ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,DonationSource,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2,Updated_3
15256,"Jonathan Gaskell - £6,000.00",,2026-05-18,2026-05-18,,Donations and other support (including loans) for activities as an MP,5403,Sarah Pochin,(b) Any other support not included in Category 2(a),Monetary,Donation to support the Parliamentary Office of Sarah Pochin MP,6000.00,2026-05-10,2026-05-10,2027-04-10,True,Jonathan Gaskell,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15256,,
15244,"Excool Limited - £10,000.00",,2026-05-15,2026-05-15,,Donations and other support (including loans) for activities as an MP,5186,Bradley Thomas,(b) Any other support not included in Category 2(a),Monetary,,10000.00,2026-05-15,2026-05-15,,True,Excool Limited,"The Oakley, Kidderminster Road, Droitwich, Worcestershire WR9 9AY",Company,Excool Limited,,07153492,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15244,,
15226,"Michael Cohen - £50,000.00",,2026-05-14,2026-05-14,,Donations and other support (including loans) for activities as an MP,4320,Robert Jenrick,(b) Any other support not included in Category 2(a),Monetary,To support duties as an MP,50000.00,2026-05-11,2026-05-11,,True,Michael Cohen,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15226,,
15232,"Alasdair J D Locke - £20,000.00",,2026-05-14,2026-05-14,,Donations and other support (including loans) for activities as an MP,4601,Andrew Bowie,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,to cover the cost of salary for a member of staff,20000.00,,,,True,Alasdair J D Locke,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15232,,
15213,Dominic Mathon - £800.00,,2026-05-12,2026-05-12,,Donations and other support (including loans) for activities as an MP,5219,Mike Martin,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,800.00,,,,True,Dominic Mathon,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15213,,
15094,"Soha Riyadh Tawfiq Alsadek - £25,000.00",,2026-05-11,2026-05-11,,Donations and other support (including loans) for activities as an MP,4356,Angela Rayner,(b) Any other support not included in Category 2(a),Monetary,Towards running costs for the Office of Angela Rayner Limited,25000.00,2026-04-08,2026-04-10,,True,Soha Riyadh Tawfiq Alsadek,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15094,,
15166,"The Knole Club - £4,000.00",,2026-05-05,2026-05-08,,Donations and other support (including loans) for activities as an MP,4780,Laura Trott,(b) Any other support not included in Category 2(a),Monetary,,4000.00,2026-04-14,2026-04-14,,True,The Knole Club,Private,Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15166,,
15144,"Richard Pym - £1,000.00",,2026-04-30,2026-05-08,,Donations and other support (including loans) for activities as an MP,5070,Lisa Smart,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,1000.00,,,,True,Richard Pym,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15144,,
15196,"Richard Pym - £1,494.50",,2026-04-30,2026-05-08,,Donations and other support (including loans) for activities as an MP,5070,Lisa Smart,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,In kind,"Donation of exact amount to cover costs of fundraising dinner for myself, the donor and eight guests",1494.50,,,,True,Richard Pym,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15196,,
15182,"Lord (David) Sainsbury - £20,000.00",,2026-05-07,2026-05-07,,Donations and other support (including loans) for activities as an MP,5031,Mark Ferguson,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,20000.00,,,,True,Lord (David) Sainsbury,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15182,,
