ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,VisitLocations_Country_3,VisitLocations_Destination_3
15447,International visit to Estonia between 13 May 2026 and 16 May 2026,,2026-06-13,2026-06-15,,Visits outside the UK,4462,Tom Tugendhat,Estonia,Tallinn,Speaking at the Lennart Meri Conference.,2026-05-13,2026-05-16,,Sihtasutus Rahvusvaheline Kaitseuuringute Keskus (International Centre for Defence and Security),False,"Narva mnt 63/4, Tallinn 10120, Estonia",In kind,"Flights (£1.323.54), accommodation (£554.70), car from airport (£18)",1896.24,True,https://interests-api.parliament.uk/api/v1/Interests/15447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15452,International visit to Seychelles between 27 May 2026 and 31 May 2026,,2026-06-15,2026-06-15,,Visits outside the UK,146,Barry Gardiner,Seychelles,,Participate in a Climate Parliament Conference on the renewable energy transition in the Seychelles.,2026-05-27,2026-05-31,,Climate Parliament,False,"167 - 169 Great Portland Street, 5th Floor, London W1W 5PF",In kind,Flights and accommodation,1757.38,True,https://interests-api.parliament.uk/api/v1/Interests/15452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15454,International visit to China between 24 May 2026 and 29 May 2026,,2026-06-15,2026-06-15,,Visits outside the UK,5185,Alan Gemmell,China,,To attend the 14th Senior Leadership Forum with the Great Britain China Centre.,2026-05-24,2026-05-29,,Great Britain China Centre,False,"Kings Building, 16 Smith Square, London SW1P 3HQ",In kind,"Hotel, flight, food and transport",4763.00,True,https://interests-api.parliament.uk/api/v1/Interests/15454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15457,International visit to Germany between 09 June 2026 and 11 June 2026,,2026-06-15,2026-06-15,,Visits outside the UK,4850,Gareth Davies,Germany,,Attending an international conference at their invitation to discuss how investment can be increased in the United Kingdom.,2026-06-09,2026-06-11,,Informa Plc,False,"5 Howick Place, London SW1P 1WG",In kind,Conference admission fee (which was waived),6662.81,True,https://interests-api.parliament.uk/api/v1/Interests/15457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15459,International visit to Kenya between 24 May 2026 and 29 May 2026,,2026-06-15,2026-06-15,,Visits outside the UK,4788,Fleur Anderson,Kenya,,"Cross-party visit to Kenya to engage with political, business and civil society stakeholders on shared UK-Kenya priorities.",2026-05-24,2026-05-29,,The Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights (£1965.40), accomodation (£850.17), local transport (£1246.14), food, refreshments and misc. (£383.34)",4445.05,True,https://interests-api.parliament.uk/api/v1/Interests/15459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15432,International visit to Italy between 24 May 2026 and 31 May 2026,,2026-06-11,2026-06-11,,Visits outside the UK,5064,Steve Race,Italy,Rome,"Travelled as Member of the APPG on Nutrition for Development to attend Rome Nutrition Week and meet with leaders, institutions, and civil society partners working to tackle malnutrition and hunger.",2026-05-24,2026-05-31,Nutrition for Development,United Against Malnutrition & Hunger,False,"71-75 Shelton Street, Covent Garden, London WC2H 9JQ",In kind,"Flights (£715), accommodation (£575), in country expenses (£140)",1430.00,True,https://interests-api.parliament.uk/api/v1/Interests/15432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15433,International visit to India between 25 May 2026 and 30 May 2026,,2026-06-11,2026-06-11,,Visits outside the UK,1491,Kerry McCarthy,India,,"To meet with Tibetan officials, including the Dalai Lama, to discuss how we can support the cause of Tibetan independence.",2026-05-25,2026-05-30,APPG for Tibet,Tibetan Central Administration,False,"Tibet House, 1 Culworth Street NW8 7AF",In kind,"International return flight London to Delhi (£900), internal return flight Delhi to Dharamshala (£170), Delhi hotel accommodation (£150) and Dharamshala hotel accommodation (£450)",1670.00,True,https://interests-api.parliament.uk/api/v1/Interests/15433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15424,International visit to Belgium between 29 April 2025 and 30 April 2025,,2026-06-10,2026-06-10,,Visits outside the UK,5061,Andrew Lewin,Belgium,Brussels,Promotion of improved UK-EU relations and to attend meetings relating to my role as Chair of the UK Trade and Business Commission.,2025-04-29,2025-04-30,UK Trade and Business Commission,Best for Britain Ltd,False,"International House, 36-38 Cornhill, London EC3V 3NG",In kind,"Transport to and from Brussels, accommodation and meals while in Brussels for one night (estimated)",581.90,True,https://interests-api.parliament.uk/api/v1/Interests/15424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15393,International visit to Kenya between 24 May 2026 and 29 May 2026,,2026-06-08,2026-06-09,,Visits outside the UK,4813,Mr Richard Holden,Kenya,"Nairobi, Marsabit","Cross-party visit to Kenya to engage with political, business and civil society stakeholders on shared UK-Kenya priorities",2026-05-24,2026-05-29,,The Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Flights (Economy) (£1303.54), accomodation (£843.77), local transport (£1496.14), food & miscellaneous expenses (£434.79)",4078.24,True,https://interests-api.parliament.uk/api/v1/Interests/15393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15381,International visit to China between 24 May 2026 and 29 May 2026,,2026-06-09,2026-06-09,,Visits outside the UK,4074,Mark Garnier,China,"Beijing, Nanjing, Yangzhou",To enhance UK Sino relations,2026-05-24,2026-05-29,,Great Britain China Centre,False,"16 Smith Square, London SW1P 3HQ",In kind,"Flights, transfers  and accommodation",4763.00,True,https://interests-api.parliament.uk/api/v1/Interests/15381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
